GEO.id,Id
GEO.id2,Id2
GEO.display-label,Geography
HD01_VD02,Estimate; Median household income in the past 12 months (in 2014 Inflation-adjusted dollars) -- - Total:
HD02_VD02,Margin of Error; Median household income in the past 12 months (in 2014 Inflation-adjusted dollars) -- - Total:
HD01_VD03,Estimate; Median household income in the past 12 months (in 2014 Inflation-adjusted dollars) -- - Owner occupied (dollars)
HD02_VD03,Margin of Error; Median household income in the past 12 months (in 2014 Inflation-adjusted dollars) -- - Owner occupied (dollars)
HD01_VD04,Estimate; Median household income in the past 12 months (in 2014 Inflation-adjusted dollars) -- - Renter occupied (dollars)
HD02_VD04,Margin of Error; Median household income in the past 12 months (in 2014 Inflation-adjusted dollars) -- - Renter occupied (dollars)
