GEO.id,GEO.id2,GEO.display-label,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04
Id,Id2,Geography,Estimate; Median household income in the past 12 months (in 2014 Inflation-adjusted dollars) -- - Total:,Margin of Error; Median household income in the past 12 months (in 2014 Inflation-adjusted dollars) -- - Total:,Estimate; Median household income in the past 12 months (in 2014 Inflation-adjusted dollars) -- - Owner occupied (dollars),Margin of Error; Median household income in the past 12 months (in 2014 Inflation-adjusted dollars) -- - Owner occupied (dollars),Estimate; Median household income in the past 12 months (in 2014 Inflation-adjusted dollars) -- - Renter occupied (dollars),Margin of Error; Median household income in the past 12 months (in 2014 Inflation-adjusted dollars) -- - Renter occupied (dollars)
0400000US25,25,Massachusetts,67846,387,91408,533,37165,355
1400000US25017300100,25017300100,"Census Tract 3001, Middlesex County, Massachusetts",83917,7096,87197,8900,70284,40569
1400000US25017301101,25017301101,"Census Tract 3011.01, Middlesex County, Massachusetts",74006,5475,83542,11860,50208,23516
1400000US25017301102,25017301102,"Census Tract 3011.02, Middlesex County, Massachusetts",96290,9781,104079,12786,54063,17811
1400000US25017310100,25017310100,"Census Tract 3101, Middlesex County, Massachusetts",34431,5194,67250,21241,27256,8517
1400000US25017310200,25017310200,"Census Tract 3102, Middlesex County, Massachusetts",57953,7796,64493,29637,50724,12575
1400000US25017310300,25017310300,"Census Tract 3103, Middlesex County, Massachusetts",45648,15003,59494,9440,36425,15831
1400000US25017310400,25017310400,"Census Tract 3104, Middlesex County, Massachusetts",34015,10750,57292,19246,25368,4705
1400000US25017310500,25017310500,"Census Tract 3105, Middlesex County, Massachusetts",51651,6871,72750,14186,29958,19955
1400000US25017310601,25017310601,"Census Tract 3106.01, Middlesex County, Massachusetts",66221,12620,77500,14465,25625,11953
1400000US25017310602,25017310602,"Census Tract 3106.02, Middlesex County, Massachusetts",50083,10531,70284,14961,40859,21878
1400000US25017310700,25017310700,"Census Tract 3107, Middlesex County, Massachusetts",37344,11169,64432,11310,31560,4497
1400000US25017311100,25017311100,"Census Tract 3111, Middlesex County, Massachusetts",42841,18783,56250,22128,35750,16591
1400000US25017311200,25017311200,"Census Tract 3112, Middlesex County, Massachusetts",43787,14013,77750,15181,28750,9413
