GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - Less than 10.0 percent,Margin of Error; Total: - Less than 10.0 percent,Estimate; Total: - 10.0 to 14.9 percent,Margin of Error; Total: - 10.0 to 14.9 percent,Estimate; Total: - 15.0 to 19.9 percent,Margin of Error; Total: - 15.0 to 19.9 percent,Estimate; Total: - 20.0 to 24.9 percent,Margin of Error; Total: - 20.0 to 24.9 percent,Estimate; Total: - 25.0 to 29.9 percent,Margin of Error; Total: - 25.0 to 29.9 percent,Estimate; Total: - 30.0 to 34.9 percent,Margin of Error; Total: - 30.0 to 34.9 percent,Estimate; Total: - 35.0 to 39.9 percent,Margin of Error; Total: - 35.0 to 39.9 percent,Estimate; Total: - 40.0 to 49.9 percent,Margin of Error; Total: - 40.0 to 49.9 percent,Estimate; Total: - 50.0 percent or more,Margin of Error; Total: - 50.0 percent or more,Estimate; Total: - Not computed,Margin of Error; Total: - Not computed
1400000US25017363201,25017363201,"Census Tract 3632.01, Middlesex County, Massachusetts",148,46,11,17,0,12,23,24,23,24,45,28,30,26,0,12,0,12,16,18,0,12
1400000US25017363202,25017363202,"Census Tract 3632.02, Middlesex County, Massachusetts",215,54,7,10,51,33,0,12,0,12,32,26,30,40,0,12,6,10,89,54,0,12
1400000US25017364101,25017364101,"Census Tract 3641.01, Middlesex County, Massachusetts",675,143,44,51,23,37,17,26,137,96,31,36,65,47,47,44,0,17,278,135,33,37
1400000US25017364102,25017364102,"Census Tract 3641.02, Middlesex County, Massachusetts",711,171,0,17,54,38,120,103,62,64,120,85,49,61,32,37,0,17,219,116,55,57
1400000US25017365100,25017365100,"Census Tract 3651, Middlesex County, Massachusetts",51,37,13,21,0,17,0,17,0,17,25,30,0,17,0,17,0,17,13,21,0,17
1400000US25017365201,25017365201,"Census Tract 3652.01, Middlesex County, Massachusetts",62,31,0,17,0,17,16,17,14,15,8,12,7,11,0,17,10,12,7,11,0,17
1400000US25017365202,25017365202,"Census Tract 3652.02, Middlesex County, Massachusetts",208,53,30,29,35,25,0,12,0,12,81,56,9,14,0,12,9,14,12,19,32,29
1400000US25017366100,25017366100,"Census Tract 3661, Middlesex County, Massachusetts",379,95,0,12,15,22,90,64,50,48,51,35,24,20,33,52,12,18,77,56,27,22
1400000US25017366201,25017366201,"Census Tract 3662.01, Middlesex County, Massachusetts",62,49,0,12,10,16,33,40,9,16,0,12,0,12,0,12,0,12,10,15,0,12
1400000US25017366202,25017366202,"Census Tract 3662.02, Middlesex County, Massachusetts",222,87,9,15,9,15,0,12,39,61,14,21,51,60,12,19,14,21,32,27,42,65
1400000US25017367100,25017367100,"Census Tract 3671, Middlesex County, Massachusetts",256,76,20,22,50,53,8,12,8,12,32,50,0,12,27,26,31,37,24,17,56,29
1400000US25017367200,25017367200,"Census Tract 3672, Middlesex County, Massachusetts",252,107,63,44,62,71,0,17,0,17,32,36,14,25,0,17,0,17,81,75,0,17
1400000US25017368101,25017368101,"Census Tract 3681.01, Middlesex County, Massachusetts",1229,170,71,66,73,64,154,87,206,94,121,74,151,76,38,62,117,76,216,100,82,70
1400000US25017368102,25017368102,"Census Tract 3681.02, Middlesex County, Massachusetts",180,65,0,12,6,13,38,41,11,16,0,12,17,29,0,12,58,47,38,27,12,15
1400000US25017368200,25017368200,"Census Tract 3682, Middlesex County, Massachusetts",600,114,0,12,27,22,134,78,73,40,45,46,29,29,33,31,55,42,113,65,91,70
1400000US25017368300,25017368300,"Census Tract 3683, Middlesex County, Massachusetts",1658,206,0,17,197,96,241,134,318,146,194,85,178,88,44,43,84,83,355,154,47,73
1400000US25017368400,25017368400,"Census Tract 3684, Middlesex County, Massachusetts",1410,211,52,42,217,137,182,77,179,107,72,60,98,84,35,43,126,97,316,189,133,95
1400000US25017368500,25017368500,"Census Tract 3685, Middlesex County, Massachusetts",1231,119,31,49,116,67,184,110,130,62,183,84,61,38,66,68,16,18,355,113,89,65
1400000US25017368600,25017368600,"Census Tract 3686, Middlesex County, Massachusetts",1600,212,51,56,202,101,244,101,241,92,181,112,110,79,106,69,177,127,288,149,0,17
1400000US25017368700,25017368700,"Census Tract 3687, Middlesex County, Massachusetts",844,100,0,12,101,59,76,51,128,70,103,49,49,47,73,65,79,53,198,73,37,31
1400000US25017368800,25017368800,"Census Tract 3688, Middlesex County, Massachusetts",1169,113,44,43,139,58,178,83,155,66,116,70,126,69,78,43,45,33,272,114,16,19
1400000US25017368901,25017368901,"Census Tract 3689.01, Middlesex County, Massachusetts",546,132,0,17,42,47,120,79,125,85,0,17,74,65,78,89,23,37,65,53,19,29
