GEO.id,GEO.id2,GEO.display-label,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Housing units with a mortgage,Margin of Error; Housing units with a mortgage,Estimate; Housing units without a mortgage,Margin of Error; Housing units without a mortgage
0400000US25,25,Massachusetts,24.0,0.1,26.5,0.2,15.4,0.2
1400000US25017300100,25017300100,"Census Tract 3001, Middlesex County, Massachusetts",23.7,1.7,24.9,3.4,15.0,6.4
1400000US25017301101,25017301101,"Census Tract 3011.01, Middlesex County, Massachusetts",24.6,2.5,27.9,2.8,12.5,3.7
1400000US25017301102,25017301102,"Census Tract 3011.02, Middlesex County, Massachusetts",24.2,2.6,25.0,2.5,14.0,9.9
1400000US25017302100,25017302100,"Census Tract 3021, Middlesex County, Massachusetts",26.7,2.9,29.5,3.2,13.6,10.2
1400000US25017302200,25017302200,"Census Tract 3022, Middlesex County, Massachusetts",-,**,-,**,-,**
1400000US25017310100,25017310100,"Census Tract 3101, Middlesex County, Massachusetts",23.7,4.2,25.3,5.1,12.0,6.4
1400000US25017310200,25017310200,"Census Tract 3102, Middlesex County, Massachusetts",25.8,4.8,28.0,6.4,14.7,6.3
1400000US25017310300,25017310300,"Census Tract 3103, Middlesex County, Massachusetts",26.1,4.3,27.6,3.7,21.4,4.1
1400000US25017310400,25017310400,"Census Tract 3104, Middlesex County, Massachusetts",23.2,4.6,25.6,6.2,17.6,5.3
1400000US25017310500,25017310500,"Census Tract 3105, Middlesex County, Massachusetts",22.6,3.3,24.4,3.1,15.4,4.4
1400000US25017310601,25017310601,"Census Tract 3106.01, Middlesex County, Massachusetts",24.5,3.1,26.7,2.4,14.6,8.6
1400000US25017310602,25017310602,"Census Tract 3106.02, Middlesex County, Massachusetts",27.9,6.4,29.0,7.3,22.4,18.0
1400000US25017310700,25017310700,"Census Tract 3107, Middlesex County, Massachusetts",22.0,3.3,23.0,3.4,9.8,8.2
1400000US25017310800,25017310800,"Census Tract 3108, Middlesex County, Massachusetts",19.3,5.4,19.3,5.4,-,**
1400000US25017311000,25017311000,"Census Tract 3110, Middlesex County, Massachusetts",29.8,23.3,41.3,27.4,-,**
1400000US25017311100,25017311100,"Census Tract 3111, Middlesex County, Massachusetts",29.5,22.4,36.0,22.0,-,**
1400000US25017311200,25017311200,"Census Tract 3112, Middlesex County, Massachusetts",29.8,4.3,33.7,9.5,27.3,9.5
1400000US25017311300,25017311300,"Census Tract 3113, Middlesex County, Massachusetts",29.8,11.4,33.8,10.6,13.6,15.2
1400000US25017311400,25017311400,"Census Tract 3114, Middlesex County, Massachusetts",28.3,3.0,31.6,5.5,13.1,5.7
