GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
Id,Id2,Geography,Estimate; Median gross rent as a percentage of household income,Margin of Error; Median gross rent as a percentage of household income
0400000US25,25,Massachusetts,29.9,0.2
1400000US25017300100,25017300100,"Census Tract 3001, Middlesex County, Massachusetts",50.0+,***
1400000US25017301101,25017301101,"Census Tract 3011.01, Middlesex County, Massachusetts",27.4,10.2
1400000US25017301102,25017301102,"Census Tract 3011.02, Middlesex County, Massachusetts",50.0+,***
1400000US25017302100,25017302100,"Census Tract 3021, Middlesex County, Massachusetts",27.8,5.7
1400000US25017302200,25017302200,"Census Tract 3022, Middlesex County, Massachusetts",50.0+,***
1400000US25017310100,25017310100,"Census Tract 3101, Middlesex County, Massachusetts",28.8,2.9
1400000US25017310200,25017310200,"Census Tract 3102, Middlesex County, Massachusetts",23.0,4.1
1400000US25017310300,25017310300,"Census Tract 3103, Middlesex County, Massachusetts",27.5,5.0
1400000US25017310400,25017310400,"Census Tract 3104, Middlesex County, Massachusetts",39.7,32.2
1400000US25017310500,25017310500,"Census Tract 3105, Middlesex County, Massachusetts",28.9,2.6
1400000US25017310601,25017310601,"Census Tract 3106.01, Middlesex County, Massachusetts",29.6,3.8
1400000US25017310602,25017310602,"Census Tract 3106.02, Middlesex County, Massachusetts",21.5,2.3
1400000US25017310700,25017310700,"Census Tract 3107, Middlesex County, Massachusetts",28.0,3.1
1400000US25017310800,25017310800,"Census Tract 3108, Middlesex County, Massachusetts",30.4,11.9
1400000US25017311000,25017311000,"Census Tract 3110, Middlesex County, Massachusetts",28.4,1.6
1400000US25017311100,25017311100,"Census Tract 3111, Middlesex County, Massachusetts",40.6,16.2
1400000US25017311200,25017311200,"Census Tract 3112, Middlesex County, Massachusetts",28.4,3.7
1400000US25017311300,25017311300,"Census Tract 3113, Middlesex County, Massachusetts",30.9,3.3
1400000US25017311400,25017311400,"Census Tract 3114, Middlesex County, Massachusetts",35.9,4.6
1400000US25017311500,25017311500,"Census Tract 3115, Middlesex County, Massachusetts",29.7,28.0
1400000US25017311600,25017311600,"Census Tract 3116, Middlesex County, Massachusetts",26.3,2.5
1400000US25017311700,25017311700,"Census Tract 3117, Middlesex County, Massachusetts",41.4,24.9
1400000US25017311800,25017311800,"Census Tract 3118, Middlesex County, Massachusetts",32.9,14.9
1400000US25017311900,25017311900,"Census Tract 3119, Middlesex County, Massachusetts",28.6,3.1
1400000US25017312000,25017312000,"Census Tract 3120, Middlesex County, Massachusetts",24.2,13.7
