GEO.id,GEO.id2,GEO.display-label,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Owner occupied (dollars),Margin of Error; Owner occupied (dollars),Estimate; Renter occupied (dollars),Margin of Error; Renter occupied (dollars)
1400000US25021417602,25021417602,"Census Tract 4176.02, Norfolk County, Massachusetts",58268,15932,78940,12982,26983,12503
1400000US25021417700,25021417700,"Census Tract 4177, Norfolk County, Massachusetts",46363,6803,90095,17194,28553,5315
1400000US25021417801,25021417801,"Census Tract 4178.01, Norfolk County, Massachusetts",84500,12453,93412,9712,38973,21197
1400000US25021417802,25021417802,"Census Tract 4178.02, Norfolk County, Massachusetts",19348,2347,75500,17385,17818,3936
1400000US25021417901,25021417901,"Census Tract 4179.01, Norfolk County, Massachusetts",46234,7238,53201,16486,32286,25741
1400000US25021417902,25021417902,"Census Tract 4179.02, Norfolk County, Massachusetts",47740,5991,47464,25524,47928,8975
1400000US25021418001,25021418001,"Census Tract 4180.01, Norfolk County, Massachusetts",63621,10099,85035,9136,58583,11896
1400000US25021418002,25021418002,"Census Tract 4180.02, Norfolk County, Massachusetts",55957,4891,65042,13204,53588,14778
1400000US25021418100,25021418100,"Census Tract 4181, Norfolk County, Massachusetts",60196,6731,76655,12946,46382,10522
1400000US25021418200,25021418200,"Census Tract 4182, Norfolk County, Massachusetts",74955,7274,84107,12467,59854,13702
1400000US25021419100,25021419100,"Census Tract 4191, Norfolk County, Massachusetts",86092,8278,96020,16012,80717,15822
1400000US25021419200,25021419200,"Census Tract 4192, Norfolk County, Massachusetts",73708,12491,90682,12590,28850,30734
1400000US25021419300,25021419300,"Census Tract 4193, Norfolk County, Massachusetts",69539,18095,99833,18873,28906,22255
1400000US25021419400,25021419400,"Census Tract 4194, Norfolk County, Massachusetts",62258,14680,79806,9852,28359,2203
1400000US25021419500,25021419500,"Census Tract 4195, Norfolk County, Massachusetts",81736,8166,82955,8102,58000,65899
1400000US25021419600,25021419600,"Census Tract 4196, Norfolk County, Massachusetts",87404,9025,90230,10338,76048,29228
