GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
Id,Id2,Geography,Estimate; Median gross rent as a percentage of household income,Margin of Error; Median gross rent as a percentage of household income
0400000US25,25,Massachusetts,30.3,0.2
1400000US25017300100,25017300100,"Census Tract 3001, Middlesex County, Massachusetts",24.1,5.2
1400000US25017301101,25017301101,"Census Tract 3011.01, Middlesex County, Massachusetts",29.6,8.3
1400000US25017301102,25017301102,"Census Tract 3011.02, Middlesex County, Massachusetts",24.8,7.0
1400000US25017310100,25017310100,"Census Tract 3101, Middlesex County, Massachusetts",34.9,5.6
1400000US25017310200,25017310200,"Census Tract 3102, Middlesex County, Massachusetts",25.8,4.8
1400000US25017310300,25017310300,"Census Tract 3103, Middlesex County, Massachusetts",35.3,8.6
1400000US25017310400,25017310400,"Census Tract 3104, Middlesex County, Massachusetts",36.8,6.6
1400000US25017310500,25017310500,"Census Tract 3105, Middlesex County, Massachusetts",33.4,8.1
1400000US25017310601,25017310601,"Census Tract 3106.01, Middlesex County, Massachusetts",28.4,2.3
1400000US25017310602,25017310602,"Census Tract 3106.02, Middlesex County, Massachusetts",38.4,12.3
1400000US25017310700,25017310700,"Census Tract 3107, Middlesex County, Massachusetts",31.9,2.6
1400000US25017311100,25017311100,"Census Tract 3111, Middlesex County, Massachusetts",33.9,10.2
1400000US25017311200,25017311200,"Census Tract 3112, Middlesex County, Massachusetts",32.0,8.3
1400000US25017311300,25017311300,"Census Tract 3113, Middlesex County, Massachusetts",27.2,4.1
1400000US25017311400,25017311400,"Census Tract 3114, Middlesex County, Massachusetts",33.0,7.1
1400000US25017311500,25017311500,"Census Tract 3115, Middlesex County, Massachusetts",28.8,7.6
1400000US25017311600,25017311600,"Census Tract 3116, Middlesex County, Massachusetts",22.1,4.5
1400000US25017311700,25017311700,"Census Tract 3117, Middlesex County, Massachusetts",29.9,2.6
1400000US25017311800,25017311800,"Census Tract 3118, Middlesex County, Massachusetts",41.0,10.3
1400000US25017311900,25017311900,"Census Tract 3119, Middlesex County, Massachusetts",28.8,1.9
1400000US25017312000,25017312000,"Census Tract 3120, Middlesex County, Massachusetts",33.0,2.6
1400000US25017312100,25017312100,"Census Tract 3121, Middlesex County, Massachusetts",31.2,5.9
1400000US25017312200,25017312200,"Census Tract 3122, Middlesex County, Massachusetts",24.1,7.2
1400000US25017312300,25017312300,"Census Tract 3123, Middlesex County, Massachusetts",24.6,10.2
1400000US25017312400,25017312400,"Census Tract 3124, Middlesex County, Massachusetts",31.9,1.4
1400000US25017312501,25017312501,"Census Tract 3125.01, Middlesex County, Massachusetts",46.4,9.6
1400000US25017312502,25017312502,"Census Tract 3125.02, Middlesex County, Massachusetts",35.7,30.2
1400000US25017313101,25017313101,"Census Tract 3131.01, Middlesex County, Massachusetts",30.8,4.4
1400000US25017313102,25017313102,"Census Tract 3131.02, Middlesex County, Massachusetts",27.3,5.1
1400000US25017314101,25017314101,"Census Tract 3141.01, Middlesex County, Massachusetts",29.3,4.4
1400000US25017314102,25017314102,"Census Tract 3141.02, Middlesex County, Massachusetts",35.1,24.0
1400000US25017314200,25017314200,"Census Tract 3142, Middlesex County, Massachusetts",26.5,6.1
1400000US25017314301,25017314301,"Census Tract 3143.01, Middlesex County, Massachusetts",26.1,6.5
1400000US25017314302,25017314302,"Census Tract 3143.02, Middlesex County, Massachusetts",29.3,12.8
1400000US25017315100,25017315100,"Census Tract 3151, Middlesex County, Massachusetts",22.5,2.9
1400000US25017315200,25017315200,"Census Tract 3152, Middlesex County, Massachusetts",26.2,4.6
1400000US25017315401,25017315401,"Census Tract 3154.01, Middlesex County, Massachusetts",32.3,4.2
1400000US25017315402,25017315402,"Census Tract 3154.02, Middlesex County, Massachusetts",23.7,9.9
1400000US25017315403,25017315403,"Census Tract 3154.03, Middlesex County, Massachusetts",50.0+,***
1400000US25017315500,25017315500,"Census Tract 3155, Middlesex County, Massachusetts",50.0+,***
1400000US25017316101,25017316101,"Census Tract 3161.01, Middlesex County, Massachusetts",17.5,8.1
1400000US25017316102,25017316102,"Census Tract 3161.02, Middlesex County, Massachusetts",29.6,8.4
1400000US25017316201,25017316201,"Census Tract 3162.01, Middlesex County, Massachusetts",-,**
1400000US25017316202,25017316202,"Census Tract 3162.02, Middlesex County, Massachusetts",39.6,26.0
1400000US25017316300,25017316300,"Census Tract 3163, Middlesex County, Massachusetts",25.9,4.3
1400000US25017316400,25017316400,"Census Tract 3164, Middlesex County, Massachusetts",44.5,12.0
1400000US25017316500,25017316500,"Census Tract 3165, Middlesex County, Massachusetts",27.7,10.2
1400000US25017317101,25017317101,"Census Tract 3171.01, Middlesex County, Massachusetts",31.7,5.3
1400000US25017317102,25017317102,"Census Tract 3171.02, Middlesex County, Massachusetts",29.3,7.6
1400000US25017317103,25017317103,"Census Tract 3171.03, Middlesex County, Massachusetts",22.9,1.4
1400000US25017317201,25017317201,"Census Tract 3172.01, Middlesex County, Massachusetts",-,**
1400000US25017317202,25017317202,"Census Tract 3172.02, Middlesex County, Massachusetts",22.5,24.6
1400000US25017317203,25017317203,"Census Tract 3172.03, Middlesex County, Massachusetts",25.8,4.0
1400000US25017317301,25017317301,"Census Tract 3173.01, Middlesex County, Massachusetts",34.5,25.4
1400000US25017317302,25017317302,"Census Tract 3173.02, Middlesex County, Massachusetts",29.3,3.5
1400000US25017318100,25017318100,"Census Tract 3181, Middlesex County, Massachusetts",-,**
1400000US25017318200,25017318200,"Census Tract 3182, Middlesex County, Massachusetts",26.3,17.5
1400000US25017318300,25017318300,"Census Tract 3183, Middlesex County, Massachusetts",19.4,18.1
1400000US25017318400,25017318400,"Census Tract 3184, Middlesex County, Massachusetts",33.2,9.4
1400000US25017320102,25017320102,"Census Tract 3201.02, Middlesex County, Massachusetts",23.6,5.7
1400000US25017320103,25017320103,"Census Tract 3201.03, Middlesex County, Massachusetts",33.9,33.6
1400000US25017320104,25017320104,"Census Tract 3201.04, Middlesex County, Massachusetts",25.8,3.7
1400000US25017321100,25017321100,"Census Tract 3211, Middlesex County, Massachusetts",27.3,7.5
1400000US25017321200,25017321200,"Census Tract 3212, Middlesex County, Massachusetts",27.7,4.5
1400000US25017321300,25017321300,"Census Tract 3213, Middlesex County, Massachusetts",28.7,3.2
1400000US25017321400,25017321400,"Census Tract 3214, Middlesex County, Massachusetts",21.1,2.7
1400000US25017321500,25017321500,"Census Tract 3215, Middlesex County, Massachusetts",24.4,3.2
1400000US25017321600,25017321600,"Census Tract 3216, Middlesex County, Massachusetts",30.1,5.5
1400000US25017322100,25017322100,"Census Tract 3221, Middlesex County, Massachusetts",21.7,19.0
1400000US25017322200,25017322200,"Census Tract 3222, Middlesex County, Massachusetts",31.1,3.7
1400000US25017322300,25017322300,"Census Tract 3223, Middlesex County, Massachusetts",28.0,3.2
1400000US25017322400,25017322400,"Census Tract 3224, Middlesex County, Massachusetts",25.6,4.3
1400000US25017323100,25017323100,"Census Tract 3231, Middlesex County, Massachusetts",28.7,10.5
1400000US25017324101,25017324101,"Census Tract 3241.01, Middlesex County, Massachusetts",30.5,4.1
1400000US25017324102,25017324102,"Census Tract 3241.02, Middlesex County, Massachusetts",19.3,11.1
1400000US25017325100,25017325100,"Census Tract 3251, Middlesex County, Massachusetts",28.6,6.6
1400000US25017326101,25017326101,"Census Tract 3261.01, Middlesex County, Massachusetts",29.2,18.0
1400000US25017326102,25017326102,"Census Tract 3261.02, Middlesex County, Massachusetts",21.9,5.3
