GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
Id,Id2,Geography,Estimate; Median household income in the past 12 months (in 2009 inflation-adjusted dollars),Margin of Error; Median household income in the past 12 months (in 2009 inflation-adjusted dollars)
0400000US25,25,Massachusetts,64496,321
1400000US25017300100,25017300100,"Census Tract 3001, Middlesex County, Massachusetts",78750,11662
1400000US25017301101,25017301101,"Census Tract 3011.01, Middlesex County, Massachusetts",67688,9518
1400000US25017301102,25017301102,"Census Tract 3011.02, Middlesex County, Massachusetts",82063,10856
1400000US25017302100,25017302100,"Census Tract 3021, Middlesex County, Massachusetts",72750,4672
1400000US25017302200,25017302200,"Census Tract 3022, Middlesex County, Massachusetts",13690,83753
1400000US25017310100,25017310100,"Census Tract 3101, Middlesex County, Massachusetts",27578,8755
1400000US25017310200,25017310200,"Census Tract 3102, Middlesex County, Massachusetts",63241,7686
1400000US25017310300,25017310300,"Census Tract 3103, Middlesex County, Massachusetts",50992,15103
1400000US25017310400,25017310400,"Census Tract 3104, Middlesex County, Massachusetts",44112,7057
1400000US25017310500,25017310500,"Census Tract 3105, Middlesex County, Massachusetts",51808,11993
1400000US25017310601,25017310601,"Census Tract 3106.01, Middlesex County, Massachusetts",65095,12391
1400000US25017310602,25017310602,"Census Tract 3106.02, Middlesex County, Massachusetts",56378,5284
1400000US25017310700,25017310700,"Census Tract 3107, Middlesex County, Massachusetts",42708,14728
1400000US25017310800,25017310800,"Census Tract 3108, Middlesex County, Massachusetts",32813,16016
1400000US25017311000,25017311000,"Census Tract 3110, Middlesex County, Massachusetts",14105,3338
1400000US25017311100,25017311100,"Census Tract 3111, Middlesex County, Massachusetts",29478,12372
1400000US25017311200,25017311200,"Census Tract 3112, Middlesex County, Massachusetts",41525,3585
1400000US25017311300,25017311300,"Census Tract 3113, Middlesex County, Massachusetts",47139,14606
1400000US25017311400,25017311400,"Census Tract 3114, Middlesex County, Massachusetts",44885,7364
1400000US25017311500,25017311500,"Census Tract 3115, Middlesex County, Massachusetts",58438,12207
1400000US25017311600,25017311600,"Census Tract 3116, Middlesex County, Massachusetts",60795,16359
1400000US25017311700,25017311700,"Census Tract 3117, Middlesex County, Massachusetts",54552,7912
1400000US25017311800,25017311800,"Census Tract 3118, Middlesex County, Massachusetts",44730,10050
1400000US25017311900,25017311900,"Census Tract 3119, Middlesex County, Massachusetts",22604,10454
1400000US25017312000,25017312000,"Census Tract 3120, Middlesex County, Massachusetts",63342,24400
1400000US25017312100,25017312100,"Census Tract 3121, Middlesex County, Massachusetts",37083,7254
1400000US25017312200,25017312200,"Census Tract 3122, Middlesex County, Massachusetts",62241,5654
1400000US25017312300,25017312300,"Census Tract 3123, Middlesex County, Massachusetts",59679,10865
1400000US25017312400,25017312400,"Census Tract 3124, Middlesex County, Massachusetts",29783,10240
1400000US25017312501,25017312501,"Census Tract 3125.01, Middlesex County, Massachusetts",78953,7563
1400000US25017312502,25017312502,"Census Tract 3125.02, Middlesex County, Massachusetts",69470,18192
1400000US25017313101,25017313101,"Census Tract 3131.01, Middlesex County, Massachusetts",107222,8788
1400000US25017313102,25017313102,"Census Tract 3131.02, Middlesex County, Massachusetts",87941,14005
1400000US25017314101,25017314101,"Census Tract 3141.01, Middlesex County, Massachusetts",70202,10618
1400000US25017314102,25017314102,"Census Tract 3141.02, Middlesex County, Massachusetts",60694,4436
1400000US25017314200,25017314200,"Census Tract 3142, Middlesex County, Massachusetts",67580,5114
1400000US25017314301,25017314301,"Census Tract 3143.01, Middlesex County, Massachusetts",78900,11024
1400000US25017314302,25017314302,"Census Tract 3143.02, Middlesex County, Massachusetts",101389,12184
1400000US25017315100,25017315100,"Census Tract 3151, Middlesex County, Massachusetts",103942,13863
1400000US25017315200,25017315200,"Census Tract 3152, Middlesex County, Massachusetts",74623,10377
1400000US25017315401,25017315401,"Census Tract 3154.01, Middlesex County, Massachusetts",63211,8953
1400000US25017315402,25017315402,"Census Tract 3154.02, Middlesex County, Massachusetts",88388,13428
1400000US25017315403,25017315403,"Census Tract 3154.03, Middlesex County, Massachusetts",72284,30004
1400000US25017315500,25017315500,"Census Tract 3155, Middlesex County, Massachusetts",88508,10841
1400000US25017316101,25017316101,"Census Tract 3161.01, Middlesex County, Massachusetts",100087,7421
1400000US25017316102,25017316102,"Census Tract 3161.02, Middlesex County, Massachusetts",85590,10217
1400000US25017316201,25017316201,"Census Tract 3162.01, Middlesex County, Massachusetts",93529,8803
1400000US25017316202,25017316202,"Census Tract 3162.02, Middlesex County, Massachusetts",90979,3076
1400000US25017316300,25017316300,"Census Tract 3163, Middlesex County, Massachusetts",81755,12803
1400000US25017316400,25017316400,"Census Tract 3164, Middlesex County, Massachusetts",91589,5934
1400000US25017316500,25017316500,"Census Tract 3165, Middlesex County, Massachusetts",73909,5353
1400000US25017317101,25017317101,"Census Tract 3171.01, Middlesex County, Massachusetts",71418,9312
1400000US25017317102,25017317102,"Census Tract 3171.02, Middlesex County, Massachusetts",82818,7533
1400000US25017317103,25017317103,"Census Tract 3171.03, Middlesex County, Massachusetts",113895,10266
1400000US25017317201,25017317201,"Census Tract 3172.01, Middlesex County, Massachusetts",138417,11100
1400000US25017317202,25017317202,"Census Tract 3172.02, Middlesex County, Massachusetts",120125,24952
1400000US25017317203,25017317203,"Census Tract 3172.03, Middlesex County, Massachusetts",85000,10444
1400000US25017317300,25017317300,"Census Tract 3173, Middlesex County, Massachusetts",69675,6104
1400000US25017318100,25017318100,"Census Tract 3181, Middlesex County, Massachusetts",105583,8744
1400000US25017318200,25017318200,"Census Tract 3182, Middlesex County, Massachusetts",99918,14755
1400000US25017318300,25017318300,"Census Tract 3183, Middlesex County, Massachusetts",133558,8556
1400000US25017318400,25017318400,"Census Tract 3184, Middlesex County, Massachusetts",149737,16372
1400000US25017320101,25017320101,"Census Tract 3201.01, Middlesex County, Massachusetts",135200,24133
1400000US25017320102,25017320102,"Census Tract 3201.02, Middlesex County, Massachusetts",122621,18864
1400000US25017321100,25017321100,"Census Tract 3211, Middlesex County, Massachusetts",76570,12727
1400000US25017321200,25017321200,"Census Tract 3212, Middlesex County, Massachusetts",61486,10390
1400000US25017321300,25017321300,"Census Tract 3213, Middlesex County, Massachusetts",45740,4339
1400000US25017321400,25017321400,"Census Tract 3214, Middlesex County, Massachusetts",107969,22856
1400000US25017321500,25017321500,"Census Tract 3215, Middlesex County, Massachusetts",72225,16021
1400000US25017321600,25017321600,"Census Tract 3216, Middlesex County, Massachusetts",86250,13870
1400000US25017322100,25017322100,"Census Tract 3221, Middlesex County, Massachusetts",84840,13439
1400000US25017322200,25017322200,"Census Tract 3222, Middlesex County, Massachusetts",81825,10785
1400000US25017322300,25017322300,"Census Tract 3223, Middlesex County, Massachusetts",68505,10445
1400000US25017322400,25017322400,"Census Tract 3224, Middlesex County, Massachusetts",66476,5022
1400000US25017323100,25017323100,"Census Tract 3231, Middlesex County, Massachusetts",122500,13625
1400000US25017324100,25017324100,"Census Tract 3241, Middlesex County, Massachusetts",98555,9247
1400000US25017325100,25017325100,"Census Tract 3251, Middlesex County, Massachusetts",55529,6439
1400000US25017326100,25017326100,"Census Tract 3261, Middlesex County, Massachusetts",118041,14825
1400000US25017327101,25017327101,"Census Tract 3271.01, Middlesex County, Massachusetts",103480,8623
1400000US25017327102,25017327102,"Census Tract 3271.02, Middlesex County, Massachusetts",74091,9417
1400000US25017327103,25017327103,"Census Tract 3271.03, Middlesex County, Massachusetts",98565,28652
1400000US25017328100,25017328100,"Census Tract 3281, Middlesex County, Massachusetts",109333,11654
1400000US25017330100,25017330100,"Census Tract 3301, Middlesex County, Massachusetts",105707,9214
1400000US25017330200,25017330200,"Census Tract 3302, Middlesex County, Massachusetts",82666,10808
1400000US25017331101,25017331101,"Census Tract 3311.01, Middlesex County, Massachusetts",96111,12045
1400000US25017331102,25017331102,"Census Tract 3311.02, Middlesex County, Massachusetts",91083,7248
1400000US25017331200,25017331200,"Census Tract 3312, Middlesex County, Massachusetts",87303,7236
1400000US25017331300,25017331300,"Census Tract 3313, Middlesex County, Massachusetts",100083,12059
1400000US25017332100,25017332100,"Census Tract 3321, Middlesex County, Massachusetts",107431,7111
1400000US25017332200,25017332200,"Census Tract 3322, Middlesex County, Massachusetts",84977,14809
1400000US25017332300,25017332300,"Census Tract 3323, Middlesex County, Massachusetts",77895,11480
1400000US25017332400,25017332400,"Census Tract 3324, Middlesex County, Massachusetts",91223,10180
1400000US25017333100,25017333100,"Census Tract 3331, Middlesex County, Massachusetts",73967,7981
1400000US25017333200,25017333200,"Census Tract 3332, Middlesex County, Massachusetts",75038,11073
1400000US25017333300,25017333300,"Census Tract 3333, Middlesex County, Massachusetts",59333,8577
1400000US25017333400,25017333400,"Census Tract 3334, Middlesex County, Massachusetts",67298,7321
1400000US25017333501,25017333501,"Census Tract 3335.01, Middlesex County, Massachusetts",81048,6418
1400000US25017333502,25017333502,"Census Tract 3335.02, Middlesex County, Massachusetts",68339,7550
1400000US25017333600,25017333600,"Census Tract 3336, Middlesex County, Massachusetts",62328,7311
1400000US25017334100,25017334100,"Census Tract 3341, Middlesex County, Massachusetts",109608,5847
1400000US25017334200,25017334200,"Census Tract 3342, Middlesex County, Massachusetts",102222,13127
1400000US25017334300,25017334300,"Census Tract 3343, Middlesex County, Massachusetts",116705,11222
1400000US25017334400,25017334400,"Census Tract 3344, Middlesex County, Massachusetts",74786,4567
1400000US25017335100,25017335100,"Census Tract 3351, Middlesex County, Massachusetts",81496,13625
1400000US25017335200,25017335200,"Census Tract 3352, Middlesex County, Massachusetts",89167,17012
1400000US25017335300,25017335300,"Census Tract 3353, Middlesex County, Massachusetts",81316,9337
1400000US25017335400,25017335400,"Census Tract 3354, Middlesex County, Massachusetts",92108,6832
1400000US25017336100,25017336100,"Census Tract 3361, Middlesex County, Massachusetts",80533,10717
1400000US25017336200,25017336200,"Census Tract 3362, Middlesex County, Massachusetts",100096,6751
1400000US25017336300,25017336300,"Census Tract 3363, Middlesex County, Massachusetts",84780,8424
1400000US25017336401,25017336401,"Census Tract 3364.01, Middlesex County, Massachusetts",65706,13790
1400000US25017336402,25017336402,"Census Tract 3364.02, Middlesex County, Massachusetts",69461,14033
1400000US25017337101,25017337101,"Census Tract 3371.01, Middlesex County, Massachusetts",76548,6707
1400000US25017337102,25017337102,"Census Tract 3371.02, Middlesex County, Massachusetts",88826,13823
1400000US25017337201,25017337201,"Census Tract 3372.01, Middlesex County, Massachusetts",64219,11375
1400000US25017337202,25017337202,"Census Tract 3372.02, Middlesex County, Massachusetts",70313,11011
1400000US25017337300,25017337300,"Census Tract 3373, Middlesex County, Massachusetts",69826,7454
1400000US25017338100,25017338100,"Census Tract 3381, Middlesex County, Massachusetts",117000,18986
1400000US25017338200,25017338200,"Census Tract 3382, Middlesex County, Massachusetts",73947,19559
1400000US25017338300,25017338300,"Census Tract 3383, Middlesex County, Massachusetts",135905,35874
1400000US25017338400,25017338400,"Census Tract 3384, Middlesex County, Massachusetts",154083,10501
