GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
Id,Id2,Geography,Estimate; Gini Index,Margin of Error; Gini Index
0400000US25,25,Massachusetts,0.4801,0.0014
1400000US25017300100,25017300100,"Census Tract 3001, Middlesex County, Massachusetts",0.3226,0.0286
1400000US25017301101,25017301101,"Census Tract 3011.01, Middlesex County, Massachusetts",0.3631,0.0490
1400000US25017301102,25017301102,"Census Tract 3011.02, Middlesex County, Massachusetts",0.3434,0.0502
1400000US25017310100,25017310100,"Census Tract 3101, Middlesex County, Massachusetts",0.4803,0.0435
1400000US25017310200,25017310200,"Census Tract 3102, Middlesex County, Massachusetts",0.3472,0.0344
1400000US25017310300,25017310300,"Census Tract 3103, Middlesex County, Massachusetts",0.4675,0.0732
1400000US25017310400,25017310400,"Census Tract 3104, Middlesex County, Massachusetts",0.4669,0.0492
1400000US25017310500,25017310500,"Census Tract 3105, Middlesex County, Massachusetts",0.3874,0.0440
1400000US25017310601,25017310601,"Census Tract 3106.01, Middlesex County, Massachusetts",0.3987,0.0453
1400000US25017310602,25017310602,"Census Tract 3106.02, Middlesex County, Massachusetts",0.4179,0.0439
1400000US25017310700,25017310700,"Census Tract 3107, Middlesex County, Massachusetts",0.4470,0.0566
1400000US25017311100,25017311100,"Census Tract 3111, Middlesex County, Massachusetts",0.3688,0.0392
1400000US25017311200,25017311200,"Census Tract 3112, Middlesex County, Massachusetts",0.4401,0.0543
1400000US25017311300,25017311300,"Census Tract 3113, Middlesex County, Massachusetts",0.4002,0.0446
1400000US25017311400,25017311400,"Census Tract 3114, Middlesex County, Massachusetts",0.4158,0.0456
1400000US25017311500,25017311500,"Census Tract 3115, Middlesex County, Massachusetts",0.4023,0.0512
1400000US25017311600,25017311600,"Census Tract 3116, Middlesex County, Massachusetts",0.4151,0.0365
1400000US25017311700,25017311700,"Census Tract 3117, Middlesex County, Massachusetts",0.4213,0.0645
1400000US25017311800,25017311800,"Census Tract 3118, Middlesex County, Massachusetts",0.4389,0.0511
1400000US25017311900,25017311900,"Census Tract 3119, Middlesex County, Massachusetts",0.5289,0.0709
1400000US25017312000,25017312000,"Census Tract 3120, Middlesex County, Massachusetts",0.3651,0.0508
1400000US25017312100,25017312100,"Census Tract 3121, Middlesex County, Massachusetts",0.4139,0.0554
1400000US25017312200,25017312200,"Census Tract 3122, Middlesex County, Massachusetts",0.3821,0.0554
1400000US25017312300,25017312300,"Census Tract 3123, Middlesex County, Massachusetts",0.4065,0.0640
1400000US25017312400,25017312400,"Census Tract 3124, Middlesex County, Massachusetts",0.4377,0.0391
