GEO.id,GEO.id2,GEO.display-label,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04
Id,Id2,Geography,Estimate; Median selected monthly owner costs as a percentage of household income in the past 12 months -- - Total:,Margin of Error; Median selected monthly owner costs as a percentage of household income in the past 12 months -- - Total:,Estimate; Median selected monthly owner costs as a percentage of household income in the past 12 months -- - Housing units with a mortgage,Margin of Error; Median selected monthly owner costs as a percentage of household income in the past 12 months -- - Housing units with a mortgage,Estimate; Median selected monthly owner costs as a percentage of household income in the past 12 months -- - Housing units without a mortgage,Margin of Error; Median selected monthly owner costs as a percentage of household income in the past 12 months -- - Housing units without a mortgage
0400000US25,25,Massachusetts,22.4,0.1,24.6,0.2,14.9,0.2
1400000US25017300100,25017300100,"Census Tract 3001, Middlesex County, Massachusetts",22.6,2.3,25.5,2.8,14.1,1.8
1400000US25017301101,25017301101,"Census Tract 3011.01, Middlesex County, Massachusetts",23.6,1.3,25.0,1.8,15.4,5.3
1400000US25017301102,25017301102,"Census Tract 3011.02, Middlesex County, Massachusetts",20.9,1.5,22.4,1.5,10.0-,***
1400000US25017310100,25017310100,"Census Tract 3101, Middlesex County, Massachusetts",23.5,3.9,23.6,3.5,18.6,28.6
1400000US25017310200,25017310200,"Census Tract 3102, Middlesex County, Massachusetts",26.9,10.9,33.1,8.2,11.3,5.5
1400000US25017310300,25017310300,"Census Tract 3103, Middlesex County, Massachusetts",19.1,3.0,22.6,2.9,14.5,3.7
1400000US25017310400,25017310400,"Census Tract 3104, Middlesex County, Massachusetts",29.1,6.7,29.4,6.5,23.6,24.2
1400000US25017310500,25017310500,"Census Tract 3105, Middlesex County, Massachusetts",27.9,4.3,28.0,3.2,18.9,29.5
1400000US25017310601,25017310601,"Census Tract 3106.01, Middlesex County, Massachusetts",24.1,2.3,26.8,4.1,10.0,3.4
1400000US25017310602,25017310602,"Census Tract 3106.02, Middlesex County, Massachusetts",27.4,2.8,31.2,3.4,15.7,5.5
1400000US25017310700,25017310700,"Census Tract 3107, Middlesex County, Massachusetts",26.6,10.1,29.4,10.0,19.7,16.2
1400000US25017311100,25017311100,"Census Tract 3111, Middlesex County, Massachusetts",26.5,4.1,26.6,4.7,26.3,19.6
1400000US25017311200,25017311200,"Census Tract 3112, Middlesex County, Massachusetts",22.9,4.9,25.7,8.2,14.8,8.4
1400000US25017311300,25017311300,"Census Tract 3113, Middlesex County, Massachusetts",25.4,7.9,28.3,10.3,14.6,8.7
1400000US25017311400,25017311400,"Census Tract 3114, Middlesex County, Massachusetts",24.8,13.2,33.1,16.1,18.6,6.8
1400000US25017311500,25017311500,"Census Tract 3115, Middlesex County, Massachusetts",24.7,5.0,25.2,5.4,11.8,27.5
1400000US25017311600,25017311600,"Census Tract 3116, Middlesex County, Massachusetts",18.6,2.1,20.6,3.0,12.3,4.2
1400000US25017311700,25017311700,"Census Tract 3117, Middlesex County, Massachusetts",28.0,8.8,28.9,11.3,24.6,14.6
1400000US25017311800,25017311800,"Census Tract 3118, Middlesex County, Massachusetts",27.7,6.0,35.2,9.9,11.9,5.3
1400000US25017311900,25017311900,"Census Tract 3119, Middlesex County, Massachusetts",26.3,12.9,29.2,17.1,18.4,21.8
1400000US25017312000,25017312000,"Census Tract 3120, Middlesex County, Massachusetts",22.7,4.3,28.4,9.1,14.0,2.9
1400000US25017312100,25017312100,"Census Tract 3121, Middlesex County, Massachusetts",24.0,2.9,24.5,4.1,23.0,16.3
1400000US25017312200,25017312200,"Census Tract 3122, Middlesex County, Massachusetts",23.2,2.0,24.8,3.2,10.0-,***
1400000US25017312300,25017312300,"Census Tract 3123, Middlesex County, Massachusetts",22.6,7.6,30.2,8.2,14.0,2.2
1400000US25017312400,25017312400,"Census Tract 3124, Middlesex County, Massachusetts",33.6,5.5,33.8,4.5,27.5,40.2
1400000US25017312501,25017312501,"Census Tract 3125.01, Middlesex County, Massachusetts",23.3,4.4,26.6,3.7,14.0,4.4
1400000US25017312502,25017312502,"Census Tract 3125.02, Middlesex County, Massachusetts",21.0,2.2,23.9,3.0,11.8,4.1
1400000US25017313101,25017313101,"Census Tract 3131.01, Middlesex County, Massachusetts",19.4,1.9,21.8,2.4,10.7,5.6
1400000US25017313102,25017313102,"Census Tract 3131.02, Middlesex County, Massachusetts",19.8,2.3,21.4,2.7,13.6,3.9
1400000US25017314101,25017314101,"Census Tract 3141.01, Middlesex County, Massachusetts",22.6,2.2,23.8,2.9,15.4,8.5
1400000US25017314102,25017314102,"Census Tract 3141.02, Middlesex County, Massachusetts",23.2,3.8,24.9,3.9,18.0,4.6
1400000US25017314200,25017314200,"Census Tract 3142, Middlesex County, Massachusetts",24.3,3.0,25.8,4.0,17.2,8.4
1400000US25017314301,25017314301,"Census Tract 3143.01, Middlesex County, Massachusetts",21.8,1.5,23.1,1.7,11.3,4.1
1400000US25017314302,25017314302,"Census Tract 3143.02, Middlesex County, Massachusetts",19.7,1.6,21.2,1.9,10.0-,***
1400000US25017315100,25017315100,"Census Tract 3151, Middlesex County, Massachusetts",22.9,2.1,24.5,2.1,14.1,2.2
1400000US25017315200,25017315200,"Census Tract 3152, Middlesex County, Massachusetts",21.5,2.0,24.3,2.1,14.9,3.5
1400000US25017315401,25017315401,"Census Tract 3154.01, Middlesex County, Massachusetts",23.3,3.0,25.8,2.5,16.7,3.7
1400000US25017315402,25017315402,"Census Tract 3154.02, Middlesex County, Massachusetts",22.7,1.9,24.6,2.7,12.5,2.2
1400000US25017315403,25017315403,"Census Tract 3154.03, Middlesex County, Massachusetts",25.1,3.5,26.4,3.0,16.8,7.0
1400000US25017315500,25017315500,"Census Tract 3155, Middlesex County, Massachusetts",24.1,1.8,24.6,2.5,20.8,7.3
1400000US25017316101,25017316101,"Census Tract 3161.01, Middlesex County, Massachusetts",21.6,2.3,24.6,2.1,10.6,1.8
1400000US25017316102,25017316102,"Census Tract 3161.02, Middlesex County, Massachusetts",19.2,2.9,21.4,7.3,12.0,2.6
1400000US25017316201,25017316201,"Census Tract 3162.01, Middlesex County, Massachusetts",21.6,1.9,23.1,1.8,14.1,4.6
1400000US25017316202,25017316202,"Census Tract 3162.02, Middlesex County, Massachusetts",22.7,1.9,24.1,2.0,13.9,4.5
1400000US25017316300,25017316300,"Census Tract 3163, Middlesex County, Massachusetts",23.0,3.3,26.7,4.1,13.6,1.9
1400000US25017316400,25017316400,"Census Tract 3164, Middlesex County, Massachusetts",24.0,3.2,27.3,3.7,16.1,4.0
1400000US25017316500,25017316500,"Census Tract 3165, Middlesex County, Massachusetts",22.4,1.4,24.0,1.7,10.0-,***
1400000US25017317101,25017317101,"Census Tract 3171.01, Middlesex County, Massachusetts",22.3,2.2,24.8,2.8,13.5,4.5
1400000US25017317102,25017317102,"Census Tract 3171.02, Middlesex County, Massachusetts",21.8,3.2,23.2,3.5,15.5,5.4
1400000US25017317103,25017317103,"Census Tract 3171.03, Middlesex County, Massachusetts",20.2,1.7,21.5,1.6,15.5,3.5
1400000US25017317201,25017317201,"Census Tract 3172.01, Middlesex County, Massachusetts",20.2,1.9,22.2,2.0,13.9,2.5
1400000US25017317202,25017317202,"Census Tract 3172.02, Middlesex County, Massachusetts",20.2,2.3,22.8,2.9,15.0,3.3
1400000US25017317203,25017317203,"Census Tract 3172.03, Middlesex County, Massachusetts",21.3,2.2,22.4,1.9,15.8,3.9
1400000US25017317301,25017317301,"Census Tract 3173.01, Middlesex County, Massachusetts",19.1,3.3,21.8,5.0,12.1,6.7
1400000US25017317302,25017317302,"Census Tract 3173.02, Middlesex County, Massachusetts",23.4,2.3,25.0,2.3,18.3,3.2
1400000US25017318100,25017318100,"Census Tract 3181, Middlesex County, Massachusetts",22.5,1.9,23.9,2.0,16.0,5.6
1400000US25017318200,25017318200,"Census Tract 3182, Middlesex County, Massachusetts",21.6,2.1,22.7,1.9,12.8,2.0
1400000US25017318300,25017318300,"Census Tract 3183, Middlesex County, Massachusetts",19.2,2.3,21.7,2.0,10.0-,***
1400000US25017318400,25017318400,"Census Tract 3184, Middlesex County, Massachusetts",18.9,1.5,20.5,1.9,10.0-,***
1400000US25017320102,25017320102,"Census Tract 3201.02, Middlesex County, Massachusetts",23.5,1.7,24.5,1.8,15.4,5.7
1400000US25017320103,25017320103,"Census Tract 3201.03, Middlesex County, Massachusetts",22.9,3.2,23.4,3.1,17.8,18.0
1400000US25017320104,25017320104,"Census Tract 3201.04, Middlesex County, Massachusetts",19.8,1.8,20.9,1.5,13.8,6.1
1400000US25017321100,25017321100,"Census Tract 3211, Middlesex County, Massachusetts",21.3,2.8,23.3,2.7,17.0,2.4
1400000US25017321200,25017321200,"Census Tract 3212, Middlesex County, Massachusetts",22.8,2.9,24.3,3.3,18.4,4.4
1400000US25017321300,25017321300,"Census Tract 3213, Middlesex County, Massachusetts",21.4,1.5,23.4,1.9,11.0,3.3
1400000US25017321400,25017321400,"Census Tract 3214, Middlesex County, Massachusetts",21.8,4.8,26.8,3.6,13.8,2.7
1400000US25017321500,25017321500,"Census Tract 3215, Middlesex County, Massachusetts",23.1,1.8,24.3,1.8,16.3,3.2
1400000US25017321600,25017321600,"Census Tract 3216, Middlesex County, Massachusetts",22.4,3.1,24.3,3.4,12.8,1.6
1400000US25017322100,25017322100,"Census Tract 3221, Middlesex County, Massachusetts",18.9,1.5,20.2,2.1,12.8,1.7
1400000US25017322200,25017322200,"Census Tract 3222, Middlesex County, Massachusetts",22.8,2.7,25.3,2.6,12.0,2.6
1400000US25017322300,25017322300,"Census Tract 3223, Middlesex County, Massachusetts",23.8,3.2,27.1,1.7,13.6,2.2
1400000US25017322400,25017322400,"Census Tract 3224, Middlesex County, Massachusetts",22.3,1.8,22.5,1.8,21.2,6.6
1400000US25017323100,25017323100,"Census Tract 3231, Middlesex County, Massachusetts",20.7,2.3,22.4,2.6,14.8,4.1
1400000US25017324101,25017324101,"Census Tract 3241.01, Middlesex County, Massachusetts",22.5,2.0,23.3,2.3,18.3,8.3
1400000US25017324102,25017324102,"Census Tract 3241.02, Middlesex County, Massachusetts",19.0,1.9,21.1,3.4,11.9,2.8
1400000US25017325100,25017325100,"Census Tract 3251, Middlesex County, Massachusetts",21.3,2.0,23.1,2.4,12.9,3.2
1400000US25017326101,25017326101,"Census Tract 3261.01, Middlesex County, Massachusetts",19.3,1.5,20.8,3.3,17.2,1.8
1400000US25017326102,25017326102,"Census Tract 3261.02, Middlesex County, Massachusetts",21.4,2.2,23.2,1.6,13.8,4.2
1400000US25017327101,25017327101,"Census Tract 3271.01, Middlesex County, Massachusetts",23.7,1.6,24.4,1.9,19.8,3.2
1400000US25017327102,25017327102,"Census Tract 3271.02, Middlesex County, Massachusetts",19.0,2.1,21.5,4.1,13.6,3.7
1400000US25017327103,25017327103,"Census Tract 3271.03, Middlesex County, Massachusetts",21.4,2.9,21.8,2.9,19.1,8.9
1400000US25017328100,25017328100,"Census Tract 3281, Middlesex County, Massachusetts",21.1,2.3,23.9,2.1,11.7,3.8
1400000US25017330100,25017330100,"Census Tract 3301, Middlesex County, Massachusetts",21.9,1.4,23.1,1.6,14.9,3.5
1400000US25017330200,25017330200,"Census Tract 3302, Middlesex County, Massachusetts",21.2,3.2,24.0,3.3,12.9,5.7
1400000US25017331101,25017331101,"Census Tract 3311.01, Middlesex County, Massachusetts",22.3,2.5,23.8,2.5,14.4,4.8
1400000US25017331102,25017331102,"Census Tract 3311.02, Middlesex County, Massachusetts",21.9,2.1,24.3,2.3,17.1,1.5
1400000US25017331200,25017331200,"Census Tract 3312, Middlesex County, Massachusetts",20.7,1.6,22.9,1.6,10.0-,***
1400000US25017331300,25017331300,"Census Tract 3313, Middlesex County, Massachusetts",20.6,1.7,21.9,1.5,12.3,2.2
1400000US25017332100,25017332100,"Census Tract 3321, Middlesex County, Massachusetts",21.1,1.9,23.2,1.7,12.1,2.3
1400000US25017332200,25017332200,"Census Tract 3322, Middlesex County, Massachusetts",19.8,3.2,24.7,5.2,12.7,2.0
1400000US25017332300,25017332300,"Census Tract 3323, Middlesex County, Massachusetts",21.3,2.8,24.0,2.6,14.1,4.3
1400000US25017332400,25017332400,"Census Tract 3324, Middlesex County, Massachusetts",22.0,2.6,24.4,3.4,14.4,2.8
1400000US25017333100,25017333100,"Census Tract 3331, Middlesex County, Massachusetts",22.9,1.6,24.1,1.8,19.7,3.0
1400000US25017333200,25017333200,"Census Tract 3332, Middlesex County, Massachusetts",22.6,3.1,27.8,8.8,13.5,1.6
1400000US25017333300,25017333300,"Census Tract 3333, Middlesex County, Massachusetts",22.7,2.5,23.2,2.8,20.0,10.5
1400000US25017333400,25017333400,"Census Tract 3334, Middlesex County, Massachusetts",22.2,2.1,25.4,2.4,11.7,1.9
1400000US25017333501,25017333501,"Census Tract 3335.01, Middlesex County, Massachusetts",21.2,2.4,23.7,1.8,11.3,4.5
1400000US25017333502,25017333502,"Census Tract 3335.02, Middlesex County, Massachusetts",22.8,1.6,22.6,1.9,23.3,13.1
1400000US25017333600,25017333600,"Census Tract 3336, Middlesex County, Massachusetts",19.4,2.2,20.4,3.8,14.6,6.3
1400000US25017334100,25017334100,"Census Tract 3341, Middlesex County, Massachusetts",26.6,2.1,27.1,2.2,23.4,5.6
1400000US25017334200,25017334200,"Census Tract 3342, Middlesex County, Massachusetts",21.0,2.5,22.4,2.3,13.2,3.4
1400000US25017334300,25017334300,"Census Tract 3343, Middlesex County, Massachusetts",20.4,2.4,24.7,3.2,12.5,2.0
1400000US25017334400,25017334400,"Census Tract 3344, Middlesex County, Massachusetts",24.3,2.0,25.8,2.4,16.5,6.8
1400000US25017335100,25017335100,"Census Tract 3351, Middlesex County, Massachusetts",21.6,2.7,25.1,3.6,11.4,2.4
1400000US25017335200,25017335200,"Census Tract 3352, Middlesex County, Massachusetts",19.6,1.8,22.2,3.6,15.1,2.6
1400000US25017335301,25017335301,"Census Tract 3353.01, Middlesex County, Massachusetts",22.9,2.3,24.5,2.1,12.7,1.5
1400000US25017335302,25017335302,"Census Tract 3353.02, Middlesex County, Massachusetts",23.6,4.2,24.3,4.5,18.3,10.1
1400000US25017335400,25017335400,"Census Tract 3354, Middlesex County, Massachusetts",22.0,3.4,26.3,3.8,12.8,3.1
1400000US25017336100,25017336100,"Census Tract 3361, Middlesex County, Massachusetts",19.7,2.5,23.8,3.6,14.0,2.4
1400000US25017336200,25017336200,"Census Tract 3362, Middlesex County, Massachusetts",20.8,2.0,21.4,1.8,13.9,4.3
1400000US25017336300,25017336300,"Census Tract 3363, Middlesex County, Massachusetts",21.4,1.9,24.1,2.4,15.4,2.1
1400000US25017336401,25017336401,"Census Tract 3364.01, Middlesex County, Massachusetts",24.2,4.7,29.2,9.2,14.5,8.6
1400000US25017336402,25017336402,"Census Tract 3364.02, Middlesex County, Massachusetts",23.2,4.4,25.9,3.3,13.0,4.8
1400000US25017337101,25017337101,"Census Tract 3371.01, Middlesex County, Massachusetts",22.7,2.0,25.0,2.7,14.8,4.9
1400000US25017337102,25017337102,"Census Tract 3371.02, Middlesex County, Massachusetts",22.9,1.7,24.5,2.2,14.9,2.9
1400000US25017337201,25017337201,"Census Tract 3372.01, Middlesex County, Massachusetts",27.8,2.0,27.9,2.0,26.6,7.8
1400000US25017337202,25017337202,"Census Tract 3372.02, Middlesex County, Massachusetts",22.5,2.9,22.8,3.1,19.9,14.3
1400000US25017337300,25017337300,"Census Tract 3373, Middlesex County, Massachusetts",22.9,5.3,26.2,3.1,13.0,1.9
1400000US25017338100,25017338100,"Census Tract 3381, Middlesex County, Massachusetts",18.1,1.8,21.6,3.0,10.0-,***
1400000US25017338200,25017338200,"Census Tract 3382, Middlesex County, Massachusetts",21.5,2.0,23.3,1.9,13.3,2.6
1400000US25017338300,25017338300,"Census Tract 3383, Middlesex County, Massachusetts",21.7,3.1,23.4,4.3,18.9,6.0
1400000US25017338400,25017338400,"Census Tract 3384, Middlesex County, Massachusetts",19.6,1.6,21.4,2.1,12.6,4.0
1400000US25017338500,25017338500,"Census Tract 3385, Middlesex County, Massachusetts",21.5,2.4,21.6,2.3,20.4,11.6
1400000US25017339100,25017339100,"Census Tract 3391, Middlesex County, Massachusetts",22.7,2.2,23.7,2.7,20.1,4.4
1400000US25017339200,25017339200,"Census Tract 3392, Middlesex County, Massachusetts",24.5,4.5,27.7,3.5,10.0-,***
1400000US25017339300,25017339300,"Census Tract 3393, Middlesex County, Massachusetts",28.0,2.4,30.6,2.7,20.3,5.6
1400000US25017339400,25017339400,"Census Tract 3394, Middlesex County, Massachusetts",24.9,3.2,26.2,3.1,13.9,14.8
1400000US25017339500,25017339500,"Census Tract 3395, Middlesex County, Massachusetts",21.1,2.7,23.6,2.5,15.1,4.2
1400000US25017339600,25017339600,"Census Tract 3396, Middlesex County, Massachusetts",25.4,6.3,29.1,7.9,15.2,7.8
1400000US25017339700,25017339700,"Census Tract 3397, Middlesex County, Massachusetts",24.4,3.8,32.8,6.1,20.7,10.8
1400000US25017339801,25017339801,"Census Tract 3398.01, Middlesex County, Massachusetts",25.8,7.8,30.6,9.7,13.9,8.3
1400000US25017339802,25017339802,"Census Tract 3398.02, Middlesex County, Massachusetts",22.3,4.3,25.3,5.0,16.7,6.9
1400000US25017339900,25017339900,"Census Tract 3399, Middlesex County, Massachusetts",28.2,4.4,28.7,4.9,25.9,15.1
1400000US25017340000,25017340000,"Census Tract 3400, Middlesex County, Massachusetts",29.7,5.5,31.3,7.6,19.9,20.7
1400000US25017340100,25017340100,"Census Tract 3401, Middlesex County, Massachusetts",22.8,4.3,26.3,3.8,12.4,2.5
1400000US25017341101,25017341101,"Census Tract 3411.01, Middlesex County, Massachusetts",25.0,3.9,28.3,4.7,12.8,1.6
1400000US25017341102,25017341102,"Census Tract 3411.02, Middlesex County, Massachusetts",25.9,7.7,31.8,11.5,10.0-,***
1400000US25017341200,25017341200,"Census Tract 3412, Middlesex County, Massachusetts",23.8,7.8,31.2,5.6,13.9,4.5
