GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - White alone,Margin of Error; Total: - White alone,Estimate; Total: - Black or African American alone,Margin of Error; Total: - Black or African American alone,Estimate; Total: - American Indian and Alaska Native alone,Margin of Error; Total: - American Indian and Alaska Native alone,Estimate; Total: - Asian alone,Margin of Error; Total: - Asian alone,Estimate; Total: - Native Hawaiian and Other Pacific Islander alone,Margin of Error; Total: - Native Hawaiian and Other Pacific Islander alone,Estimate; Total: - Some other race alone,Margin of Error; Total: - Some other race alone,Estimate; Total: - Two or more races:,Margin of Error; Total: - Two or more races:,Estimate; Total: - Two or more races: - Two races including Some other race,Margin of Error; Total: - Two or more races: - Two races including Some other race,"Estimate; Total: - Two or more races: - Two races excluding Some other race, and three or more races","Margin of Error; Total: - Two or more races: - Two races excluding Some other race, and three or more races"
0400000US25,25,Massachusetts,6657291,*****,5326774,6006,465792,3554,13642,1102,384642,2014,1645,280,274529,6255,190267,4464,33591,1764,156676,3918
1400000US25017300100,25017300100,"Census Tract 3001, Middlesex County, Massachusetts",3147,16,3089,42,17,18,0,12,37,34,0,12,0,12,4,6,4,6,0,12
1400000US25017301101,25017301101,"Census Tract 3011.01, Middlesex County, Massachusetts",4041,170,3818,218,0,12,25,38,43,50,0,12,99,132,56,49,0,12,56,49
1400000US25017301102,25017301102,"Census Tract 3011.02, Middlesex County, Massachusetts",5142,171,4931,237,7,12,0,17,154,194,0,17,9,14,41,47,23,37,18,29
1400000US25017310100,25017310100,"Census Tract 3101, Middlesex County, Massachusetts",5103,465,3155,381,375,247,9,18,429,195,0,12,833,293,302,209,157,144,145,148
1400000US25017310200,25017310200,"Census Tract 3102, Middlesex County, Massachusetts",6949,759,4795,836,496,230,0,17,339,182,0,17,900,468,419,400,36,66,383,403
1400000US25017310300,25017310300,"Census Tract 3103, Middlesex County, Massachusetts",5864,619,3485,596,683,266,0,17,740,556,0,17,669,344,287,281,228,269,59,72
1400000US25017310400,25017310400,"Census Tract 3104, Middlesex County, Massachusetts",3385,347,2326,442,144,140,0,12,352,190,0,12,481,198,82,114,11,17,71,112
1400000US25017310500,25017310500,"Census Tract 3105, Middlesex County, Massachusetts",3354,381,2313,348,276,163,0,12,525,218,0,12,125,116,115,69,15,24,100,66
1400000US25017310601,25017310601,"Census Tract 3106.01, Middlesex County, Massachusetts",6304,512,4109,615,472,414,0,17,1092,433,0,17,310,309,321,227,201,188,120,108
1400000US25017310602,25017310602,"Census Tract 3106.02, Middlesex County, Massachusetts",5504,598,3950,497,102,77,14,22,656,251,8,19,704,441,70,58,53,49,17,28
1400000US25017310700,25017310700,"Census Tract 3107, Middlesex County, Massachusetts",4812,489,2223,362,317,255,33,58,1488,291,0,17,642,368,109,77,22,32,87,73
1400000US25017311100,25017311100,"Census Tract 3111, Middlesex County, Massachusetts",2501,286,950,213,124,89,0,12,874,204,0,12,472,235,81,46,30,31,51,35
1400000US25017311200,25017311200,"Census Tract 3112, Middlesex County, Massachusetts",3427,439,1014,277,491,333,0,12,1510,450,8,12,349,191,55,78,0,12,55,78
1400000US25017311300,25017311300,"Census Tract 3113, Middlesex County, Massachusetts",3788,323,1780,267,274,130,22,35,1527,260,0,12,131,130,54,53,0,12,54,53
1400000US25017311400,25017311400,"Census Tract 3114, Middlesex County, Massachusetts",6314,639,2755,490,1007,554,53,86,1804,703,0,17,594,374,101,93,63,71,38,62
1400000US25017311500,25017311500,"Census Tract 3115, Middlesex County, Massachusetts",3384,295,1132,261,153,112,0,12,1593,331,0,12,450,418,56,43,10,17,46,46
1400000US25017311600,25017311600,"Census Tract 3116, Middlesex County, Massachusetts",5278,396,3220,268,274,157,85,92,1257,317,0,17,369,230,73,53,16,30,57,42
1400000US25017311700,25017311700,"Census Tract 3117, Middlesex County, Massachusetts",4906,392,1936,377,125,101,57,65,2140,468,0,12,551,307,97,87,11,17,86,85
1400000US25017311800,25017311800,"Census Tract 3118, Middlesex County, Massachusetts",3282,407,1350,306,80,58,0,12,1478,438,0,12,196,195,178,135,101,102,77,81
1400000US25017311900,25017311900,"Census Tract 3119, Middlesex County, Massachusetts",2286,250,1506,210,261,158,0,12,274,168,0,12,192,64,53,37,9,15,44,40
1400000US25017312000,25017312000,"Census Tract 3120, Middlesex County, Massachusetts",3021,308,1393,305,185,128,28,29,559,242,0,12,816,278,40,42,9,16,31,31
1400000US25017312100,25017312100,"Census Tract 3121, Middlesex County, Massachusetts",2728,404,1318,254,152,111,0,12,633,277,0,12,394,213,231,188,36,64,195,166
1400000US25017312200,25017312200,"Census Tract 3122, Middlesex County, Massachusetts",4536,456,2256,345,615,416,0,12,825,340,5,8,551,299,284,171,168,147,116,88
1400000US25017312300,25017312300,"Census Tract 3123, Middlesex County, Massachusetts",4862,515,3444,499,7,14,0,17,893,576,0,17,320,297,198,141,150,119,48,52
1400000US25017312400,25017312400,"Census Tract 3124, Middlesex County, Massachusetts",2613,341,1374,319,260,181,0,12,213,155,0,12,667,286,99,62,31,35,68,51
1400000US25017312501,25017312501,"Census Tract 3125.01, Middlesex County, Massachusetts",4094,348,3507,327,122,123,30,53,131,57,0,12,195,154,109,81,0,12,109,81
1400000US25017312502,25017312502,"Census Tract 3125.02, Middlesex County, Massachusetts",3764,354,3206,347,135,106,0,12,287,149,0,12,31,51,105,85,0,12,105,85
1400000US25017313101,25017313101,"Census Tract 3131.01, Middlesex County, Massachusetts",5845,194,5294,200,30,49,0,17,441,139,0,17,11,17,69,69,0,17,69,69
1400000US25017313102,25017313102,"Census Tract 3131.02, Middlesex County, Massachusetts",6022,193,5562,297,32,51,26,43,209,186,0,17,0,17,193,151,0,17,193,151
1400000US25017314101,25017314101,"Census Tract 3141.01, Middlesex County, Massachusetts",5806,369,5137,480,92,86,15,23,384,304,0,17,17,27,161,185,0,17,161,185
1400000US25017314102,25017314102,"Census Tract 3141.02, Middlesex County, Massachusetts",7362,481,6166,422,128,123,0,17,655,293,0,17,143,106,270,177,95,110,175,187
1400000US25017314200,25017314200,"Census Tract 3142, Middlesex County, Massachusetts",5594,462,5396,435,149,188,0,17,0,17,0,17,37,44,12,21,0,17,12,21
1400000US25017314301,25017314301,"Census Tract 3143.01, Middlesex County, Massachusetts",8508,364,7420,515,436,344,0,17,322,82,0,17,317,202,13,21,0,17,13,21
1400000US25017314302,25017314302,"Census Tract 3143.02, Middlesex County, Massachusetts",3080,155,2728,224,72,66,5,8,150,117,0,12,45,49,80,114,80,114,0,12
1400000US25017315100,25017315100,"Census Tract 3151, Middlesex County, Massachusetts",6267,314,5815,323,120,117,0,17,206,123,0,17,17,29,109,129,0,17,109,129
1400000US25017315200,25017315200,"Census Tract 3152, Middlesex County, Massachusetts",7646,330,6906,549,334,419,37,39,220,159,0,17,7,16,142,107,1,2,141,106
1400000US25017315401,25017315401,"Census Tract 3154.01, Middlesex County, Massachusetts",3734,246,3377,234,38,48,10,21,180,121,0,12,0,12,129,92,19,27,110,90
1400000US25017315402,25017315402,"Census Tract 3154.02, Middlesex County, Massachusetts",2927,173,2818,193,37,41,25,33,36,38,0,12,4,6,7,12,0,12,7,12
1400000US25017315403,25017315403,"Census Tract 3154.03, Middlesex County, Massachusetts",1645,147,1591,150,5,9,0,12,25,42,0,12,24,36,0,12,0,12,0,12
1400000US25017315500,25017315500,"Census Tract 3155, Middlesex County, Massachusetts",7499,415,7331,415,0,17,0,17,77,66,0,17,50,84,41,46,0,17,41,46
1400000US25017316101,25017316101,"Census Tract 3161.01, Middlesex County, Massachusetts",4866,274,4597,272,27,32,0,17,131,121,0,17,86,118,25,27,15,25,10,12
1400000US25017316102,25017316102,"Census Tract 3161.02, Middlesex County, Massachusetts",6953,448,6744,489,0,17,0,17,138,160,0,17,13,22,58,92,58,92,0,17
1400000US25017316201,25017316201,"Census Tract 3162.01, Middlesex County, Massachusetts",4150,218,4007,229,26,40,0,12,79,81,0,12,34,51,4,7,0,12,4,7
1400000US25017316202,25017316202,"Census Tract 3162.02, Middlesex County, Massachusetts",4434,239,3852,235,92,97,0,12,442,102,0,12,14,16,34,31,15,23,19,21
1400000US25017316300,25017316300,"Census Tract 3163, Middlesex County, Massachusetts",8093,512,7013,613,234,186,0,17,657,288,0,17,51,78,138,130,100,122,38,42
1400000US25017316400,25017316400,"Census Tract 3164, Middlesex County, Massachusetts",6403,453,5501,330,241,126,0,17,267,93,0,17,176,145,218,144,18,28,200,136
1400000US25017316500,25017316500,"Census Tract 3165, Middlesex County, Massachusetts",6547,412,5994,469,90,119,12,21,264,144,0,17,18,23,169,162,127,155,42,42
1400000US25017317101,25017317101,"Census Tract 3171.01, Middlesex County, Massachusetts",6081,343,5544,314,0,17,79,62,401,343,0,17,21,31,36,49,24,40,12,21
1400000US25017317102,25017317102,"Census Tract 3171.02, Middlesex County, Massachusetts",4434,225,3786,242,0,12,0,12,503,105,0,12,89,93,56,59,10,15,46,46
1400000US25017317103,25017317103,"Census Tract 3171.03, Middlesex County, Massachusetts",5104,267,4708,272,17,21,0,12,286,73,0,12,0,12,93,55,33,41,60,43
1400000US25017317201,25017317201,"Census Tract 3172.01, Middlesex County, Massachusetts",2754,136,2563,171,0,12,0,12,191,124,0,12,0,12,0,12,0,12,0,12
1400000US25017317202,25017317202,"Census Tract 3172.02, Middlesex County, Massachusetts",3617,165,3327,191,64,93,0,12,201,92,0,12,24,36,1,6,0,12,1,6
1400000US25017317203,25017317203,"Census Tract 3172.03, Middlesex County, Massachusetts",4217,177,3730,224,11,16,0,12,438,159,0,12,9,14,29,26,12,18,17,19
1400000US25017317301,25017317301,"Census Tract 3173.01, Middlesex County, Massachusetts",2823,293,2374,290,10,17,0,12,324,66,0,12,111,123,4,9,4,9,0,12
1400000US25017317302,25017317302,"Census Tract 3173.02, Middlesex County, Massachusetts",5465,298,4917,278,50,70,0,17,454,318,0,17,0,17,44,49,0,17,44,49
1400000US25017318100,25017318100,"Census Tract 3181, Middlesex County, Massachusetts",6745,305,5352,260,0,17,0,17,1184,195,0,17,66,93,143,116,0,17,143,116
1400000US25017318200,25017318200,"Census Tract 3182, Middlesex County, Massachusetts",4013,255,3333,245,27,32,0,12,534,149,0,12,70,78,49,38,0,12,49,38
1400000US25017318300,25017318300,"Census Tract 3183, Middlesex County, Massachusetts",8000,264,6754,324,18,30,0,17,1028,246,0,17,0,17,200,140,0,17,200,140
1400000US25017318400,25017318400,"Census Tract 3184, Middlesex County, Massachusetts",4096,188,3325,218,83,115,0,12,632,158,0,12,42,57,14,26,0,12,14,26
1400000US25017320102,25017320102,"Census Tract 3201.02, Middlesex County, Massachusetts",5369,231,4716,300,29,35,0,17,511,232,0,17,19,25,94,69,15,30,79,59
