GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Not Hispanic or Latino:,Margin of Error; Not Hispanic or Latino:,Estimate; Not Hispanic or Latino: - White alone,Margin of Error; Not Hispanic or Latino: - White alone,Estimate; Not Hispanic or Latino: - Black or African American alone,Margin of Error; Not Hispanic or Latino: - Black or African American alone,Estimate; Not Hispanic or Latino: - American Indian and Alaska Native alone,Margin of Error; Not Hispanic or Latino: - American Indian and Alaska Native alone,Estimate; Not Hispanic or Latino: - Asian alone,Margin of Error; Not Hispanic or Latino: - Asian alone,Estimate; Not Hispanic or Latino: - Native Hawaiian and Other Pacific Islander alone,Margin of Error; Not Hispanic or Latino: - Native Hawaiian and Other Pacific Islander alone,Estimate; Not Hispanic or Latino: - Some other race alone,Margin of Error; Not Hispanic or Latino: - Some other race alone,Estimate; Not Hispanic or Latino: - Two or more races:,Margin of Error; Not Hispanic or Latino: - Two or more races:,Estimate; Not Hispanic or Latino: - Two or more races: - Two races including Some other race,Margin of Error; Not Hispanic or Latino: - Two or more races: - Two races including Some other race,"Estimate; Not Hispanic or Latino: - Two or more races: - Two races excluding Some other race, and three or more races","Margin of Error; Not Hispanic or Latino: - Two or more races: - Two races excluding Some other race, and three or more races",Estimate; Hispanic or Latino:,Margin of Error; Hispanic or Latino:,Estimate; Hispanic or Latino: - White alone,Margin of Error; Hispanic or Latino: - White alone,Estimate; Hispanic or Latino: - Black or African American alone,Margin of Error; Hispanic or Latino: - Black or African American alone,Estimate; Hispanic or Latino: - American Indian and Alaska Native alone,Margin of Error; Hispanic or Latino: - American Indian and Alaska Native alone,Estimate; Hispanic or Latino: - Asian alone,Margin of Error; Hispanic or Latino: - Asian alone,Estimate; Hispanic or Latino: - Native Hawaiian and Other Pacific Islander alone,Margin of Error; Hispanic or Latino: - Native Hawaiian and Other Pacific Islander alone,Estimate; Hispanic or Latino: - Some other race alone,Margin of Error; Hispanic or Latino: - Some other race alone,Estimate; Hispanic or Latino: - Two or more races:,Margin of Error; Hispanic or Latino: - Two or more races:,Estimate; Hispanic or Latino: - Two or more races: - Two races including Some other race,Margin of Error; Hispanic or Latino: - Two or more races: - Two races including Some other race,"Estimate; Hispanic or Latino: - Two or more races: - Two races excluding Some other race, and three or more races","Margin of Error; Hispanic or Latino: - Two or more races: - Two races excluding Some other race, and three or more races"
1400000US25017353500,25017353500,"Census Tract 3535, Middlesex County, Massachusetts",2759,290,2517,259,1581,186,441,97,0,127,263,142,0,127,17,27,215,199,5,9,210,200,242,152,191,146,0,127,0,127,0,127,0,127,51,44,0,127,0,127,0,127
1400000US25017353600,25017353600,"Census Tract 3536, Middlesex County, Massachusetts",5084,808,4798,803,3629,603,329,171,0,127,657,147,0,127,35,36,148,108,0,127,148,108,286,149,138,110,12,19,12,19,16,27,0,127,108,100,0,127,0,127,0,127
1400000US25017353700,25017353700,"Census Tract 3537, Middlesex County, Massachusetts",5376,734,5047,702,3675,491,282,156,0,127,974,386,0,127,0,127,116,85,17,28,99,75,329,128,250,108,0,127,40,64,0,127,0,127,19,29,20,35,0,127,20,35
1400000US25017353800,25017353800,"Census Tract 3538, Middlesex County, Massachusetts",4771,467,4382,387,3323,369,172,104,45,42,656,165,0,127,20,35,166,91,30,41,136,82,389,205,278,172,59,94,0,127,15,25,0,127,20,32,17,27,17,27,0,127
1400000US25017353900,25017353900,"Census Tract 3539, Middlesex County, Massachusetts",3191,450,2948,395,1805,343,273,110,0,127,753,239,0,127,23,36,94,63,1,1,93,64,243,124,174,105,0,127,0,127,0,127,0,127,37,43,32,32,7,12,25,30
1400000US25017354000,25017354000,"Census Tract 3540, Middlesex County, Massachusetts",3991,498,3691,479,2937,393,126,87,0,127,485,174,0,127,17,28,126,101,0,127,126,101,300,146,207,126,8,14,0,127,0,127,0,127,85,94,0,127,0,127,0,127
1400000US25017354100,25017354100,"Census Tract 3541, Middlesex County, Massachusetts",3392,480,3080,437,2489,404,185,102,6,9,328,203,0,127,11,19,61,65,0,127,61,65,312,151,105,67,17,29,0,127,0,127,0,127,90,61,100,84,46,61,54,61
1400000US25017354200,25017354200,"Census Tract 3542, Middlesex County, Massachusetts",3581,372,3521,377,3301,335,41,43,0,127,121,94,0,127,11,16,47,45,0,127,47,45,60,49,43,42,0,127,0,127,0,127,0,127,0,127,17,27,17,27,0,127
1400000US25017354300,25017354300,"Census Tract 3543, Middlesex County, Massachusetts",3728,353,3589,355,2828,332,462,116,0,127,229,121,0,127,11,17,59,66,39,63,20,23,139,124,76,93,32,49,0,127,0,127,0,127,31,28,0,127,0,127,0,127
1400000US25017354400,25017354400,"Census Tract 3544, Middlesex County, Massachusetts",1575,239,1547,240,1429,233,63,52,5,9,50,42,0,127,0,127,0,127,0,127,0,127,28,48,12,20,16,43,0,127,0,127,0,127,0,127,0,127,0,127,0,127
1400000US25017354500,25017354500,"Census Tract 3545, Middlesex County, Massachusetts",2794,260,2638,289,1964,263,67,85,0,127,415,140,0,127,11,17,181,158,0,127,181,158,156,94,156,94,0,127,0,127,0,127,0,127,0,127,0,127,0,127,0,127
1400000US25017354600,25017354600,"Census Tract 3546, Middlesex County, Massachusetts",4922,451,4714,443,3060,386,1101,271,0,127,475,223,0,127,0,127,78,55,0,127,78,55,208,124,157,113,27,43,13,20,0,127,0,127,11,19,0,127,0,127,0,127
1400000US25017354700,25017354700,"Census Tract 3547, Middlesex County, Massachusetts",2838,256,2702,252,2194,213,70,62,0,127,332,124,0,127,13,21,93,59,0,127,93,59,136,90,70,66,23,35,0,127,0,127,0,127,10,17,33,40,11,18,22,36
1400000US25017354800,25017354800,"Census Tract 3548, Middlesex County, Massachusetts",2407,192,2339,197,2093,201,9,14,0,127,189,84,0,127,0,127,48,51,0,127,48,51,68,48,22,26,0,127,0,127,0,127,0,127,46,43,0,127,0,127,0,127
1400000US25017354900,25017354900,"Census Tract 3549, Middlesex County, Massachusetts",5942,549,5693,559,2642,461,1716,349,33,40,1144,266,0,127,14,23,144,104,32,36,112,94,249,154,138,102,0,127,66,84,0,127,0,127,18,29,27,39,0,127,27,39
1400000US25017355000,25017355000,"Census Tract 3550, Middlesex County, Massachusetts",3328,387,3112,334,2475,392,397,206,0,127,204,128,0,127,12,20,24,26,0,127,24,26,216,271,192,272,0,127,0,127,0,127,0,127,24,26,0,127,0,127,0,127
1400000US25017356100,25017356100,"Census Tract 3561, Middlesex County, Massachusetts",3290,372,3251,369,2850,390,97,133,0,127,148,73,0,127,27,42,129,95,0,127,129,95,39,40,39,40,0,127,0,127,0,127,0,127,0,127,0,127,0,127,0,127
