GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; White alone,Margin of Error; White alone,Estimate; Black or African American alone,Margin of Error; Black or African American alone,Estimate; American Indian and Alaska Native alone,Margin of Error; American Indian and Alaska Native alone,Estimate; Asian alone,Margin of Error; Asian alone,Estimate; Native Hawaiian and Other Pacific Islander alone,Margin of Error; Native Hawaiian and Other Pacific Islander alone,Estimate; Some other race alone,Margin of Error; Some other race alone,Estimate; Two or more races:,Margin of Error; Two or more races:,Estimate; Two or more races: - Two races including Some other race,Margin of Error; Two or more races: - Two races including Some other race,"Estimate; Two or more races: - Two races excluding Some other race, and three or more races","Margin of Error; Two or more races: - Two races excluding Some other race, and three or more races"
1400000US25017387201,25017387201,"Census Tract 3872.01, Middlesex County, Massachusetts",5884,217,5475,304,102,90,29,31,180,144,0,127,48,63,50,61,0,127,50,61
1400000US25017387202,25017387202,"Census Tract 3872.02, Middlesex County, Massachusetts",3900,167,3677,219,37,41,0,127,106,88,0,127,46,53,34,54,0,127,34,54
1400000US25017388100,25017388100,"Census Tract 3881, Middlesex County, Massachusetts",5101,19,4255,162,28,26,20,19,673,139,0,127,7,10,118,78,29,34,89,70
1400000US25021400100,25021400100,"Census Tract 4001, Norfolk County, Massachusetts",4529,514,3607,466,84,111,0,127,469,193,0,127,204,305,165,85,0,127,165,85
1400000US25021400200,25021400200,"Census Tract 4002, Norfolk County, Massachusetts",6699,864,5341,786,204,180,0,127,786,210,0,127,279,202,89,58,28,33,61,51
1400000US25021400300,25021400300,"Census Tract 4003, Norfolk County, Massachusetts",3987,387,3187,380,106,104,0,127,602,150,0,127,26,19,66,54,0,127,66,54
1400000US25021400400,25021400400,"Census Tract 4004, Norfolk County, Massachusetts",4999,347,4103,391,14,21,0,127,793,259,0,127,13,20,76,72,0,127,76,72
1400000US25021400500,25021400500,"Census Tract 4005, Norfolk County, Massachusetts",5463,488,4447,450,181,155,43,34,709,304,0,127,19,24,64,54,23,36,41,39
1400000US25021400600,25021400600,"Census Tract 4006, Norfolk County, Massachusetts",5066,548,4110,455,58,68,0,127,568,148,0,127,81,64,249,169,20,34,229,166
1400000US25021400700,25021400700,"Census Tract 4007, Norfolk County, Massachusetts",3538,258,2811,274,106,105,24,28,416,120,0,127,74,92,107,77,0,127,107,77
1400000US25021400800,25021400800,"Census Tract 4008, Norfolk County, Massachusetts",5008,388,3561,384,93,56,0,127,995,249,0,127,281,288,78,70,0,127,78,70
1400000US25021400900,25021400900,"Census Tract 4009, Norfolk County, Massachusetts",4056,412,2703,433,149,78,0,127,1023,350,0,127,37,44,144,107,74,83,70,60
1400000US25021401000,25021401000,"Census Tract 4010, Norfolk County, Massachusetts",3137,244,2497,237,168,174,0,127,259,116,0,127,129,147,84,69,0,127,84,69
1400000US25021401100,25021401100,"Census Tract 4011, Norfolk County, Massachusetts",4018,450,3490,448,34,39,0,127,465,213,0,127,0,127,29,33,0,127,29,33
1400000US25021401200,25021401200,"Census Tract 4012, Norfolk County, Massachusetts",5666,485,4462,479,168,194,0,127,795,273,0,127,122,110,119,76,37,36,82,66
1400000US25021402101,25021402101,"Census Tract 4021.01, Norfolk County, Massachusetts",3804,227,3202,288,299,247,0,127,225,213,0,127,64,92,14,22,0,127,14,22
1400000US25021402102,25021402102,"Census Tract 4021.02, Norfolk County, Massachusetts",3940,321,3447,340,358,201,0,127,38,30,0,127,46,50,51,48,0,127,51,48
1400000US25021402200,25021402200,"Census Tract 4022, Norfolk County, Massachusetts",2173,156,2080,156,46,67,0,127,0,127,0,127,0,127,47,59,0,127,47,59
1400000US25021402300,25021402300,"Census Tract 4023, Norfolk County, Massachusetts",4938,226,4713,252,87,75,0,127,92,89,0,127,0,127,46,69,0,127,46,69
1400000US25021402400,25021402400,"Census Tract 4024, Norfolk County, Massachusetts",5466,287,5185,344,89,74,0,127,144,111,0,127,11,18,37,35,0,127,37,35
1400000US25021402500,25021402500,"Census Tract 4025, Norfolk County, Massachusetts",4040,387,3571,356,281,171,16,28,72,60,0,127,85,118,15,24,15,24,0,127
1400000US25021403100,25021403100,"Census Tract 4031, Norfolk County, Massachusetts",6909,285,6374,375,188,215,0,127,216,86,0,127,67,69,64,70,0,127,64,70
1400000US25021403200,25021403200,"Census Tract 4032, Norfolk County, Massachusetts",4231,246,3942,291,13,21,0,127,189,127,9,12,15,27,63,51,0,127,63,51
1400000US25021403300,25021403300,"Census Tract 4033, Norfolk County, Massachusetts",4091,353,3784,449,0,127,0,127,307,265,0,127,0,127,0,127,0,127,0,127
1400000US25021403400,25021403400,"Census Tract 4034, Norfolk County, Massachusetts",7778,347,6823,396,0,127,0,127,723,381,0,127,147,215,85,63,0,127,85,63
1400000US25021403500,25021403500,"Census Tract 4035, Norfolk County, Massachusetts",5772,363,5014,473,95,118,0,127,587,193,0,127,38,63,38,37,0,127,38,37
1400000US25021404100,25021404100,"Census Tract 4041, Norfolk County, Massachusetts",3449,242,2817,243,137,178,53,77,299,109,0,127,110,175,33,33,0,127,33,33
1400000US25021404201,25021404201,"Census Tract 4042.01, Norfolk County, Massachusetts",3248,212,3153,223,8,12,0,127,59,50,0,127,18,34,10,16,0,127,10,16
1400000US25021404202,25021404202,"Census Tract 4042.02, Norfolk County, Massachusetts",5358,767,4297,517,165,104,0,127,743,359,0,127,57,72,96,101,0,127,96,101
1400000US25021404301,25021404301,"Census Tract 4043.01, Norfolk County, Massachusetts",4878,318,4190,422,24,23,0,127,631,284,0,127,7,12,26,44,0,127,26,44
1400000US25021404302,25021404302,"Census Tract 4043.02, Norfolk County, Massachusetts",2937,244,2609,275,0,127,0,127,151,98,0,127,148,148,29,47,8,13,21,34
1400000US25021404400,25021404400,"Census Tract 4044, Norfolk County, Massachusetts",7119,482,5307,455,117,77,0,127,1274,287,0,127,107,67,314,141,17,27,297,137
1400000US25021405100,25021405100,"Census Tract 4051, Norfolk County, Massachusetts",5694,62,5112,216,42,54,0,127,278,119,0,127,94,116,168,97,0,127,168,97
1400000US25021406101,25021406101,"Census Tract 4061.01, Norfolk County, Massachusetts",5825,262,5502,256,52,67,21,34,161,99,0,127,24,28,65,57,38,41,27,35
1400000US25021406102,25021406102,"Census Tract 4061.02, Norfolk County, Massachusetts",6350,263,6111,279,0,127,0,127,90,77,0,127,0,127,149,142,29,47,120,119
1400000US25021407100,25021407100,"Census Tract 4071, Norfolk County, Massachusetts",7964,18,7649,171,0,127,0,127,132,115,0,127,39,33,144,85,26,39,118,77
1400000US25021408101,25021408101,"Census Tract 4081.01, Norfolk County, Massachusetts",8052,272,7812,319,0,127,0,127,129,116,0,127,36,63,75,68,0,127,75,68
1400000US25021408102,25021408102,"Census Tract 4081.02, Norfolk County, Massachusetts",4715,259,4385,312,112,107,0,127,124,133,0,127,0,127,94,118,55,69,39,50
1400000US25021409101,25021409101,"Census Tract 4091.01, Norfolk County, Massachusetts",6427,707,5060,317,639,265,24,28,93,66,3,3,313,118,295,250,45,36,250,250
1400000US25021409102,25021409102,"Census Tract 4091.02, Norfolk County, Massachusetts",4557,706,4470,694,0,127,0,127,68,74,0,127,9,13,10,17,0,127,10,17
1400000US25021410100,25021410100,"Census Tract 4101, Norfolk County, Massachusetts",5856,298,5749,310,27,65,0,127,29,29,0,127,0,127,51,55,0,127,51,55
1400000US25021410300,25021410300,"Census Tract 4103, Norfolk County, Massachusetts",4403,231,4341,234,11,19,0,127,36,34,0,127,0,127,15,26,0,127,15,26
1400000US25021410400,25021410400,"Census Tract 4104, Norfolk County, Massachusetts",6186,252,5679,313,113,165,0,127,298,191,0,127,32,39,64,65,22,40,42,50
1400000US25021411100,25021411100,"Census Tract 4111, Norfolk County, Massachusetts",7362,401,7100,376,174,147,5,10,26,31,0,127,30,48,27,24,0,127,27,24
1400000US25021411200,25021411200,"Census Tract 4112, Norfolk County, Massachusetts",5899,473,5579,517,9,13,0,127,182,176,0,127,129,184,0,127,0,127,0,127
1400000US25021411300,25021411300,"Census Tract 4113, Norfolk County, Massachusetts",9894,400,8982,418,650,414,0,127,155,138,0,127,68,51,39,48,6,10,33,47
