GEO.id,GEO.id2,GEO.display-label,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11
Id,Id2,Geography,Estimate; Median gross rent -- - Total:,Margin of Error; Median gross rent -- - Total:,Estimate; Median gross rent -- - Total: - Built 2010 or later,Margin of Error; Median gross rent -- - Total: - Built 2010 or later,Estimate; Median gross rent -- - Total: - Built 2000 to 2009,Margin of Error; Median gross rent -- - Total: - Built 2000 to 2009,Estimate; Median gross rent -- - Total: - Built 1990 to 1999,Margin of Error; Median gross rent -- - Total: - Built 1990 to 1999,Estimate; Median gross rent -- - Total: - Built 1980 to 1989,Margin of Error; Median gross rent -- - Total: - Built 1980 to 1989,Estimate; Median gross rent -- - Total: - Built 1970 to 1979,Margin of Error; Median gross rent -- - Total: - Built 1970 to 1979,Estimate; Median gross rent -- - Total: - Built 1960 to 1969,Margin of Error; Median gross rent -- - Total: - Built 1960 to 1969,Estimate; Median gross rent -- - Total: - Built 1950 to 1959,Margin of Error; Median gross rent -- - Total: - Built 1950 to 1959,Estimate; Median gross rent -- - Total: - Built 1940 to 1949,Margin of Error; Median gross rent -- - Total: - Built 1940 to 1949,Estimate; Median gross rent -- - Total: - Built 1939 or earlier,Margin of Error; Median gross rent -- - Total: - Built 1939 or earlier
1400000US25017354000,25017354000,"Census Tract 3540, Middlesex County, Massachusetts",1802,77,-,**,-,**,-,**,1917,1424,1674,468,"2,000+",***,1723,57,1513,892,1805,72
1400000US25017354100,25017354100,"Census Tract 3541, Middlesex County, Massachusetts",1827,56,-,**,-,**,-,**,1672,158,"2,000+",***,-,**,-,**,"2,000+",***,1833,71
1400000US25017354200,25017354200,"Census Tract 3542, Middlesex County, Massachusetts",1859,171,-,**,-,**,-,**,-,**,-,**,-,**,1696,491,"2,000+",***,1915,221
1400000US25017354300,25017354300,"Census Tract 3543, Middlesex County, Massachusetts",1501,217,-,**,-,**,100-,***,297,210,1230,453,1438,663,1608,622,-,**,1679,244
1400000US25017354400,25017354400,"Census Tract 3544, Middlesex County, Massachusetts",1854,115,-,**,-,**,-,**,"2,000+",***,-,**,"2,000+",***,-,**,1431,831,1830,114
1400000US25017354500,25017354500,"Census Tract 3545, Middlesex County, Massachusetts",1755,168,-,**,-,**,-,**,-,**,1750,135,-,**,1500,450,1617,482,1876,299
1400000US25017354600,25017354600,"Census Tract 3546, Middlesex County, Massachusetts",1723,213,1833,940,"2,000+",***,1479,1450,-,**,1130,1436,1362,416,"2,000+",***,2000,585,1918,254
1400000US25017354700,25017354700,"Census Tract 3547, Middlesex County, Massachusetts",1486,312,-,**,-,**,"2,000+",***,-,**,1548,513,1400,93,"2,000+",***,-,**,1482,982
1400000US25017354800,25017354800,"Census Tract 3548, Middlesex County, Massachusetts",1529,123,-,**,-,**,-,**,"2,000+",***,1635,1325,"2,000+",***,1404,54,1563,304,1466,127
1400000US25017354900,25017354900,"Census Tract 3549, Middlesex County, Massachusetts",1065,80,-,**,"2,000+",***,-,**,831,461,883,248,1023,126,828,200,396,932,1208,136
1400000US25017355000,25017355000,"Census Tract 3550, Middlesex County, Massachusetts",1254,141,-,**,1722,1300,1288,337,-,**,212,63,1167,1154,1284,198,1688,510,1596,370
1400000US25017356100,25017356100,"Census Tract 3561, Middlesex County, Massachusetts",1724,80,-,**,-,**,-,**,-,**,-,**,-,**,1809,225,1837,175,1709,90
1400000US25017356300,25017356300,"Census Tract 3563, Middlesex County, Massachusetts",1305,96,-,**,-,**,-,**,1485,544,1125,156,948,91,1395,180,1212,225,1467,130
1400000US25017356400,25017356400,"Census Tract 3564, Middlesex County, Massachusetts",1346,208,-,**,-,**,-,**,-,**,-,**,1347,259,1207,376,1610,530,1246,883
1400000US25017356500,25017356500,"Census Tract 3565, Middlesex County, Massachusetts",1346,113,-,**,394,2016,-,**,-,**,1134,1299,1271,604,1258,1730,-,**,1471,201
1400000US25017356601,25017356601,"Census Tract 3566.01, Middlesex County, Massachusetts",1209,59,-,**,-,**,1180,134,1196,115,-,**,1139,34,1221,191,"2,000+",***,1633,296
