GEO.id,Id
GEO.id2,Id2
GEO.display-label,Geography
HD01_VD01,Estimate; Total:
HD02_VD01,Margin of Error; Total:
HD01_VD02,Estimate; No bedroom:
HD02_VD02,Margin of Error; No bedroom:
HD01_VD03,Estimate; No bedroom: - With cash rent:
HD02_VD03,Margin of Error; No bedroom: - With cash rent:
HD01_VD04,Estimate; No bedroom: - With cash rent: - Less than $200
HD02_VD04,Margin of Error; No bedroom: - With cash rent: - Less than $200
HD01_VD05,Estimate; No bedroom: - With cash rent: - $200 to $299
HD02_VD05,Margin of Error; No bedroom: - With cash rent: - $200 to $299
HD01_VD06,Estimate; No bedroom: - With cash rent: - $300 to $499
HD02_VD06,Margin of Error; No bedroom: - With cash rent: - $300 to $499
HD01_VD07,Estimate; No bedroom: - With cash rent: - $500 to $749
HD02_VD07,Margin of Error; No bedroom: - With cash rent: - $500 to $749
HD01_VD08,Estimate; No bedroom: - With cash rent: - $750 to $999
HD02_VD08,Margin of Error; No bedroom: - With cash rent: - $750 to $999
HD01_VD09,"Estimate; No bedroom: - With cash rent: - $1,000 or more"
HD02_VD09,"Margin of Error; No bedroom: - With cash rent: - $1,000 or more"
HD01_VD10,Estimate; No bedroom: - No cash rent
HD02_VD10,Margin of Error; No bedroom: - No cash rent
HD01_VD11,Estimate; 1 bedroom:
HD02_VD11,Margin of Error; 1 bedroom:
HD01_VD12,Estimate; 1 bedroom: - With cash rent:
HD02_VD12,Margin of Error; 1 bedroom: - With cash rent:
HD01_VD13,Estimate; 1 bedroom: - With cash rent: - Less than $200
HD02_VD13,Margin of Error; 1 bedroom: - With cash rent: - Less than $200
HD01_VD14,Estimate; 1 bedroom: - With cash rent: - $200 to $299
HD02_VD14,Margin of Error; 1 bedroom: - With cash rent: - $200 to $299
HD01_VD15,Estimate; 1 bedroom: - With cash rent: - $300 to $499
HD02_VD15,Margin of Error; 1 bedroom: - With cash rent: - $300 to $499
HD01_VD16,Estimate; 1 bedroom: - With cash rent: - $500 to $749
HD02_VD16,Margin of Error; 1 bedroom: - With cash rent: - $500 to $749
HD01_VD17,Estimate; 1 bedroom: - With cash rent: - $750 to $999
HD02_VD17,Margin of Error; 1 bedroom: - With cash rent: - $750 to $999
HD01_VD18,"Estimate; 1 bedroom: - With cash rent: - $1,000 or more"
HD02_VD18,"Margin of Error; 1 bedroom: - With cash rent: - $1,000 or more"
HD01_VD19,Estimate; 1 bedroom: - No cash rent
HD02_VD19,Margin of Error; 1 bedroom: - No cash rent
HD01_VD20,Estimate; 2 bedrooms:
HD02_VD20,Margin of Error; 2 bedrooms:
HD01_VD21,Estimate; 2 bedrooms: - With cash rent:
HD02_VD21,Margin of Error; 2 bedrooms: - With cash rent:
HD01_VD22,Estimate; 2 bedrooms: - With cash rent: - Less than $200
HD02_VD22,Margin of Error; 2 bedrooms: - With cash rent: - Less than $200
HD01_VD23,Estimate; 2 bedrooms: - With cash rent: - $200 to $299
HD02_VD23,Margin of Error; 2 bedrooms: - With cash rent: - $200 to $299
HD01_VD24,Estimate; 2 bedrooms: - With cash rent: - $300 to $499
HD02_VD24,Margin of Error; 2 bedrooms: - With cash rent: - $300 to $499
HD01_VD25,Estimate; 2 bedrooms: - With cash rent: - $500 to $749
HD02_VD25,Margin of Error; 2 bedrooms: - With cash rent: - $500 to $749
HD01_VD26,Estimate; 2 bedrooms: - With cash rent: - $750 to $999
HD02_VD26,Margin of Error; 2 bedrooms: - With cash rent: - $750 to $999
HD01_VD27,"Estimate; 2 bedrooms: - With cash rent: - $1,000 or more"
HD02_VD27,"Margin of Error; 2 bedrooms: - With cash rent: - $1,000 or more"
HD01_VD28,Estimate; 2 bedrooms: - No cash rent
HD02_VD28,Margin of Error; 2 bedrooms: - No cash rent
HD01_VD29,Estimate; 3 or more bedrooms:
HD02_VD29,Margin of Error; 3 or more bedrooms:
HD01_VD30,Estimate; 3 or more bedrooms: - With cash rent:
HD02_VD30,Margin of Error; 3 or more bedrooms: - With cash rent:
HD01_VD31,Estimate; 3 or more bedrooms: - With cash rent: - Less than $200
HD02_VD31,Margin of Error; 3 or more bedrooms: - With cash rent: - Less than $200
HD01_VD32,Estimate; 3 or more bedrooms: - With cash rent: - $200 to $299
HD02_VD32,Margin of Error; 3 or more bedrooms: - With cash rent: - $200 to $299
HD01_VD33,Estimate; 3 or more bedrooms: - With cash rent: - $300 to $499
HD02_VD33,Margin of Error; 3 or more bedrooms: - With cash rent: - $300 to $499
HD01_VD34,Estimate; 3 or more bedrooms: - With cash rent: - $500 to $749
HD02_VD34,Margin of Error; 3 or more bedrooms: - With cash rent: - $500 to $749
HD01_VD35,Estimate; 3 or more bedrooms: - With cash rent: - $750 to $999
HD02_VD35,Margin of Error; 3 or more bedrooms: - With cash rent: - $750 to $999
HD01_VD36,"Estimate; 3 or more bedrooms: - With cash rent: - $1,000 or more"
HD02_VD36,"Margin of Error; 3 or more bedrooms: - With cash rent: - $1,000 or more"
HD01_VD37,Estimate; 3 or more bedrooms: - No cash rent
HD02_VD37,Margin of Error; 3 or more bedrooms: - No cash rent
