GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Owner occupied,Margin of Error; Owner occupied,Estimate; Renter occupied,Margin of Error; Renter occupied
1400000US25017300100,25017300100,"Census Tract 3001, Middlesex County, Massachusetts",980,55,947,61,33,23
1400000US25017301101,25017301101,"Census Tract 3011.01, Middlesex County, Massachusetts",1453,91,1209,76,244,80
1400000US25017301102,25017301102,"Census Tract 3011.02, Middlesex County, Massachusetts",1813,83,1651,105,162,89
1400000US25017302100,25017302100,"Census Tract 3021, Middlesex County, Massachusetts",2397,202,1863,208,534,205
1400000US25017302200,25017302200,"Census Tract 3022, Middlesex County, Massachusetts",74,51,0,127,74,51
1400000US25017310100,25017310100,"Census Tract 3101, Middlesex County, Massachusetts",2045,161,424,115,1621,180
1400000US25017310200,25017310200,"Census Tract 3102, Middlesex County, Massachusetts",2061,165,1437,181,624,158
1400000US25017310300,25017310300,"Census Tract 3103, Middlesex County, Massachusetts",2404,144,1156,172,1248,180
1400000US25017310400,25017310400,"Census Tract 3104, Middlesex County, Massachusetts",1026,119,627,129,399,142
1400000US25017310500,25017310500,"Census Tract 3105, Middlesex County, Massachusetts",1073,97,601,108,472,122
1400000US25017310601,25017310601,"Census Tract 3106.01, Middlesex County, Massachusetts",2089,104,1349,140,740,160
1400000US25017310602,25017310602,"Census Tract 3106.02, Middlesex County, Massachusetts",2298,112,1504,172,794,185
1400000US25017310700,25017310700,"Census Tract 3107, Middlesex County, Massachusetts",1407,120,468,122,939,156
1400000US25017310800,25017310800,"Census Tract 3108, Middlesex County, Massachusetts",339,59,76,33,263,68
1400000US25017311000,25017311000,"Census Tract 3110, Middlesex County, Massachusetts",1282,105,45,31,1237,109
1400000US25017311100,25017311100,"Census Tract 3111, Middlesex County, Massachusetts",838,67,178,96,660,100
1400000US25017311200,25017311200,"Census Tract 3112, Middlesex County, Massachusetts",947,87,345,70,602,106
1400000US25017311300,25017311300,"Census Tract 3113, Middlesex County, Massachusetts",1289,103,571,108,718,112
1400000US25017311400,25017311400,"Census Tract 3114, Middlesex County, Massachusetts",2479,135,889,155,1590,192
1400000US25017311500,25017311500,"Census Tract 3115, Middlesex County, Massachusetts",982,80,675,91,307,120
1400000US25017311600,25017311600,"Census Tract 3116, Middlesex County, Massachusetts",1882,83,1307,122,575,113
1400000US25017311700,25017311700,"Census Tract 3117, Middlesex County, Massachusetts",1504,110,830,144,674,172
1400000US25017311800,25017311800,"Census Tract 3118, Middlesex County, Massachusetts",1022,77,463,125,559,126
1400000US25017311900,25017311900,"Census Tract 3119, Middlesex County, Massachusetts",1097,79,198,75,899,101
1400000US25017312000,25017312000,"Census Tract 3120, Middlesex County, Massachusetts",829,118,344,76,485,124
1400000US25017312100,25017312100,"Census Tract 3121, Middlesex County, Massachusetts",932,109,353,100,579,134
1400000US25017312200,25017312200,"Census Tract 3122, Middlesex County, Massachusetts",1631,143,1139,137,492,134
1400000US25017312300,25017312300,"Census Tract 3123, Middlesex County, Massachusetts",2042,122,1358,132,684,151
1400000US25017312400,25017312400,"Census Tract 3124, Middlesex County, Massachusetts",940,54,143,59,797,68
1400000US25017312501,25017312501,"Census Tract 3125.01, Middlesex County, Massachusetts",1700,82,1273,138,427,119
1400000US25017312502,25017312502,"Census Tract 3125.02, Middlesex County, Massachusetts",1536,97,1174,107,362,79
1400000US25017313101,25017313101,"Census Tract 3131.01, Middlesex County, Massachusetts",1802,84,1638,87,164,65
1400000US25017313102,25017313102,"Census Tract 3131.02, Middlesex County, Massachusetts",2048,113,1765,129,283,114
1400000US25017314101,25017314101,"Census Tract 3141.01, Middlesex County, Massachusetts",2091,119,1622,149,469,118
1400000US25017314102,25017314102,"Census Tract 3141.02, Middlesex County, Massachusetts",2791,141,2206,160,585,151
1400000US25017314200,25017314200,"Census Tract 3142, Middlesex County, Massachusetts",2010,105,1621,146,389,114
1400000US25017314301,25017314301,"Census Tract 3143.01, Middlesex County, Massachusetts",2886,156,2450,159,436,143
1400000US25017314302,25017314302,"Census Tract 3143.02, Middlesex County, Massachusetts",948,44,933,46,15,19
1400000US25017315100,25017315100,"Census Tract 3151, Middlesex County, Massachusetts",1853,93,1786,95,67,42
1400000US25017315200,25017315200,"Census Tract 3152, Middlesex County, Massachusetts",2854,162,2179,171,675,158
1400000US25017315401,25017315401,"Census Tract 3154.01, Middlesex County, Massachusetts",1431,82,1228,99,203,61
1400000US25017315402,25017315402,"Census Tract 3154.02, Middlesex County, Massachusetts",933,41,906,57,27,32
1400000US25017315403,25017315403,"Census Tract 3154.03, Middlesex County, Massachusetts",537,60,474,65,63,45
1400000US25017315500,25017315500,"Census Tract 3155, Middlesex County, Massachusetts",2540,136,2430,138,110,67
1400000US25017316101,25017316101,"Census Tract 3161.01, Middlesex County, Massachusetts",1504,56,1450,57,54,31
1400000US25017316102,25017316102,"Census Tract 3161.02, Middlesex County, Massachusetts",2027,79,1765,109,262,94
1400000US25017316201,25017316201,"Census Tract 3162.01, Middlesex County, Massachusetts",1270,53,1220,65,50,51
1400000US25017316202,25017316202,"Census Tract 3162.02, Middlesex County, Massachusetts",1305,66,1286,60,19,20
1400000US25017316300,25017316300,"Census Tract 3163, Middlesex County, Massachusetts",2827,125,2039,145,788,161
